name,url,query,tweet_volume,country
#sonkezsençalkapımı,http://twitter.com/search?q=%23sonkezsen%C3%A7alkap%C4%B1m%C4%B1,%23sonkezsen%C3%A7alkap%C4%B1m%C4%B1,2308698.0,Algeria
#ARMY,http://twitter.com/search?q=%23ARMY,%23ARMY,355180.0,Algeria
#Butter,http://twitter.com/search?q=%23Butter,%23Butter,300526.0,Algeria
#3JIsBack,http://twitter.com/search?q=%233JIsBack,%233JIsBack,330823.0,Algeria
jongin,http://twitter.com/search?q=jongin,jongin,38677.0,Algeria
hobi,http://twitter.com/search?q=hobi,hobi,247766.0,Algeria
Lisa,http://twitter.com/search?q=Lisa,Lisa,1348569.0,Algeria
PlayStation,http://twitter.com/search?q=PlayStation,PlayStation,134582.0,Algeria
Baekhyun,http://twitter.com/search?q=Baekhyun,Baekhyun,118426.0,Algeria
Lana,http://twitter.com/search?q=Lana,Lana,60965.0,Algeria
Megan,http://twitter.com/search?q=Megan,Megan,522136.0,Algeria
Messi,http://twitter.com/search?q=Messi,Messi,128469.0,Algeria
ابراهيم,http://twitter.com/search?q=%D8%A7%D8%A8%D8%B1%D8%A7%D9%87%D9%8A%D9%85,%D8%A7%D8%A8%D8%B1%D8%A7%D9%87%D9%8A%D9%85,35105.0,Algeria
Sony,http://twitter.com/search?q=Sony,Sony,51356.0,Algeria
Constantine,http://twitter.com/search?q=Constantine,Constantine,10804.0,Algeria
Nicki,http://twitter.com/search?q=Nicki,Nicki,40874.0,Algeria
امريكا,http://twitter.com/search?q=%D8%A7%D9%85%D8%B1%D9%8A%D9%83%D8%A7,%D8%A7%D9%85%D8%B1%D9%8A%D9%83%D8%A7,40728.0,Algeria
اليوتيوب,http://twitter.com/search?q=%D8%A7%D9%84%D9%8A%D9%88%D8%AA%D9%8A%D9%88%D8%A8,%D8%A7%D9%84%D9%8A%D9%88%D8%AA%D9%8A%D9%88%D8%A8,11023.0,Algeria
Hyunjin,http://twitter.com/search?q=Hyunjin,Hyunjin,104925.0,Algeria
Xbox,http://twitter.com/search?q=Xbox,Xbox,84540.0,Algeria
Tokyo,http://twitter.com/search?q=Tokyo,Tokyo,247033.0,Algeria
ياسر,http://twitter.com/search?q=%D9%8A%D8%A7%D8%B3%D8%B1,%D9%8A%D8%A7%D8%B3%D8%B1,14591.0,Algeria
Excuse,http://twitter.com/search?q=Excuse,Excuse,100354.0,Algeria
Macron,http://twitter.com/search?q=Macron,Macron,51992.0,Algeria
taehyun,http://twitter.com/search?q=taehyun,taehyun,33350.0,Algeria
