name,url,query,tweet_volume,country
Cristina,http://twitter.com/search?q=Cristina,Cristina,56908.0,Argentina
#btsdivine,http://twitter.com/search?q=%23btsdivine,%23btsdivine,32938.0,Argentina
#btsdiscography,http://twitter.com/search?q=%23btsdiscography,%23btsdiscography,32644.0,Argentina
#btsdiamond,http://twitter.com/search?q=%23btsdiamond,%23btsdiamond,34673.0,Argentina
#LaVidaQueQueremos,http://twitter.com/search?q=%23LaVidaQueQueremos,%23LaVidaQueQueremos,39055.0,Argentina
Lionel,http://twitter.com/search?q=Lionel,Lionel,26246.0,Argentina
Iorio,http://twitter.com/search?q=Iorio,Iorio,20536.0,Argentina
Papo,http://twitter.com/search?q=Papo,Papo,51950.0,Argentina
La Jefa,http://twitter.com/search?q=%22La+Jefa%22,%22La+Jefa%22,11809.0,Argentina
Matrix,http://twitter.com/search?q=Matrix,Matrix,272976.0,Argentina
Wolf,http://twitter.com/search?q=Wolf,Wolf,81039.0,Argentina
Voluntad,http://twitter.com/search?q=Voluntad,Voluntad,17940.0,Argentina
Frente de Todos,http://twitter.com/search?q=%22Frente+de+Todos%22,%22Frente+de+Todos%22,18511.0,Argentina
iPhone,http://twitter.com/search?q=iPhone,iPhone,314882.0,Argentina
gigi,http://twitter.com/search?q=gigi,gigi,39052.0,Argentina
Baekhyun,http://twitter.com/search?q=Baekhyun,Baekhyun,118363.0,Argentina
Belmondo,http://twitter.com/search?q=Belmondo,Belmondo,39481.0,Argentina
Monumental,http://twitter.com/search?q=Monumental,Monumental,21129.0,Argentina
AFIP,http://twitter.com/search?q=AFIP,AFIP,22842.0,Argentina
Castañeira,http://twitter.com/search?q=Casta%C3%B1eira,Casta%C3%B1eira,22023.0,Argentina
De Paul,http://twitter.com/search?q=%22De+Paul%22,%22De+Paul%22,33475.0,Argentina
Himno,http://twitter.com/search?q=Himno,Himno,26640.0,Argentina
Santilli,http://twitter.com/search?q=Santilli,Santilli,10268.0,Argentina
John Wick,http://twitter.com/search?q=%22John+Wick%22,%22John+Wick%22,33846.0,Argentina
hyuna,http://twitter.com/search?q=hyuna,hyuna,45436.0,Argentina
