name,url,query,tweet_volume,country
#PlayStationShowcase,http://twitter.com/search?q=%23PlayStationShowcase,%23PlayStationShowcase,21396.0,Australia
New World Order,http://twitter.com/search?q=%22New+World+Order%22,%22New+World+Order%22,77158.0,Australia
Pfizer,http://twitter.com/search?q=Pfizer,Pfizer,179458.0,Australia
Matrix,http://twitter.com/search?q=Matrix,Matrix,272976.0,Australia
NOT OK,http://twitter.com/search?q=%22NOT+OK%22,%22NOT+OK%22,93916.0,Australia
Health Minister,http://twitter.com/search?q=%22Health+Minister%22,%22Health+Minister%22,14631.0,Australia
BTOB,http://twitter.com/search?q=BTOB,BTOB,180008.0,Australia
Blues Clues,http://twitter.com/search?q=%22Blues+Clues%22,%22Blues+Clues%22,124103.0,Australia
John Mulaney,http://twitter.com/search?q=%22John+Mulaney%22,%22John+Mulaney%22,10126.0,Australia
Baekhyun,http://twitter.com/search?q=Baekhyun,Baekhyun,118363.0,Australia
Mirror Mirror,http://twitter.com/search?q=%22Mirror+Mirror%22,%22Mirror+Mirror%22,91162.0,Australia
hyuna,http://twitter.com/search?q=hyuna,hyuna,45436.0,Australia
