name,url,query,tweet_volume,country
#sonkezsençalkapımı,http://twitter.com/search?q=%23sonkezsen%C3%A7alkap%C4%B1m%C4%B1,%23sonkezsen%C3%A7alkap%C4%B1m%C4%B1,2308742.0,Bahrain
ناصر محمد اليماني,http://twitter.com/search?q=%22%D9%86%D8%A7%D8%B5%D8%B1+%D9%85%D8%AD%D9%85%D8%AF+%D8%A7%D9%84%D9%8A%D9%85%D8%A7%D9%86%D9%8A%22,%22%D9%86%D8%A7%D8%B5%D8%B1+%D9%85%D8%AD%D9%85%D8%AF+%D8%A7%D9%84%D9%8A%D9%85%D8%A7%D9%86%D9%8A%22,48341.0,Bahrain
#انقذوا_دانه_المساعيد,http://twitter.com/search?q=%23%D8%A7%D9%86%D9%82%D8%B0%D9%88%D8%A7_%D8%AF%D8%A7%D9%86%D9%87_%D8%A7%D9%84%D9%85%D8%B3%D8%A7%D8%B9%D9%8A%D8%AF,%23%D8%A7%D9%86%D9%82%D8%B0%D9%88%D8%A7_%D8%AF%D8%A7%D9%86%D9%87_%D8%A7%D9%84%D9%85%D8%B3%D8%A7%D8%B9%D9%8A%D8%AF,36071.0,Bahrain
اليوتيوب,http://twitter.com/search?q=%D8%A7%D9%84%D9%8A%D9%88%D8%AA%D9%8A%D9%88%D8%A8,%D8%A7%D9%84%D9%8A%D9%88%D8%AA%D9%8A%D9%88%D8%A8,11031.0,Bahrain
Pakistan,http://twitter.com/search?q=Pakistan,Pakistan,155425.0,Bahrain
Bestie,http://twitter.com/search?q=Bestie,Bestie,152018.0,Bahrain
السعودية,http://twitter.com/search?q=%D8%A7%D9%84%D8%B3%D8%B9%D9%88%D8%AF%D9%8A%D8%A9,%D8%A7%D9%84%D8%B3%D8%B9%D9%88%D8%AF%D9%8A%D8%A9,331560.0,Bahrain
الكويت,http://twitter.com/search?q=%D8%A7%D9%84%D9%83%D9%88%D9%8A%D8%AA,%D8%A7%D9%84%D9%83%D9%88%D9%8A%D8%AA,80581.0,Bahrain
Tells,http://twitter.com/search?q=Tells,Tells,108932.0,Bahrain
#تحذير_بدر_شهر_صفر_العالمي,http://twitter.com/search?q=%23%D8%AA%D8%AD%D8%B0%D9%8A%D8%B1_%D8%A8%D8%AF%D8%B1_%D8%B4%D9%87%D8%B1_%D8%B5%D9%81%D8%B1_%D8%A7%D9%84%D8%B9%D8%A7%D9%84%D9%85%D9%8A,%23%D8%AA%D8%AD%D8%B0%D9%8A%D8%B1_%D8%A8%D8%AF%D8%B1_%D8%B4%D9%87%D8%B1_%D8%B5%D9%81%D8%B1_%D8%A7%D9%84%D8%B9%D8%A7%D9%84%D9%85%D9%8A,53163.0,Bahrain
#صباح_Iلخير,http://twitter.com/search?q=%23%D8%B5%D8%A8%D8%A7%D8%AD_I%D9%84%D8%AE%D9%8A%D8%B1,%23%D8%B5%D8%A8%D8%A7%D8%AD_I%D9%84%D8%AE%D9%8A%D8%B1,27777.0,Bahrain
#البدر_الاثنين_الساعه_سبعه,http://twitter.com/search?q=%23%D8%A7%D9%84%D8%A8%D8%AF%D8%B1_%D8%A7%D9%84%D8%A7%D8%AB%D9%86%D9%8A%D9%86_%D8%A7%D9%84%D8%B3%D8%A7%D8%B9%D9%87_%D8%B3%D8%A8%D8%B9%D9%87,%23%D8%A7%D9%84%D8%A8%D8%AF%D8%B1_%D8%A7%D9%84%D8%A7%D8%AB%D9%86%D9%8A%D9%86_%D8%A7%D9%84%D8%B3%D8%A7%D8%B9%D9%87_%D8%B3%D8%A8%D8%B9%D9%87,53472.0,Bahrain
#كف_ودفوف,http://twitter.com/search?q=%23%D9%83%D9%81_%D9%88%D8%AF%D9%81%D9%88%D9%81,%23%D9%83%D9%81_%D9%88%D8%AF%D9%81%D9%88%D9%81,10535.0,Bahrain
#BBOTT,http://twitter.com/search?q=%23BBOTT,%23BBOTT,17351.0,Bahrain
#T20WorldCup,http://twitter.com/search?q=%23T20WorldCup,%23T20WorldCup,75310.0,Bahrain
#ShauryaAurAnokhiKiKahani,http://twitter.com/search?q=%23ShauryaAurAnokhiKiKahani,%23ShauryaAurAnokhiKiKahani,10860.0,Bahrain
