name,url,query,tweet_volume,country
Temer,http://twitter.com/search?q=Temer,Temer,26057.0,Brazil
Diniz,http://twitter.com/search?q=Diniz,Diniz,19545.0,Brazil
México,http://twitter.com/search?q=M%C3%A9xico,M%C3%A9xico,403168.0,Brazil
Zé Trovão,http://twitter.com/search?q=%22Z%C3%A9+Trov%C3%A3o%22,%22Z%C3%A9+Trov%C3%A3o%22,113923.0,Brazil
Normani,http://twitter.com/search?q=Normani,Normani,31298.0,Brazil
#Shopee99,http://twitter.com/search?q=%23Shopee99,%23Shopee99,31595.0,Brazil
Matrix,http://twitter.com/search?q=Matrix,Matrix,272976.0,Brazil
Barroso,http://twitter.com/search?q=Barroso,Barroso,55896.0,Brazil
ALHO REFOGADO,http://twitter.com/search?q=%22ALHO+REFOGADO%22,%22ALHO+REFOGADO%22,12047.0,Brazil
#AFazenda13,http://twitter.com/search?q=%23AFazenda13,%23AFazenda13,39697.0,Brazil
ANITTA NO VMAs,http://twitter.com/search?q=%22ANITTA+NO+VMAs%22,%22ANITTA+NO+VMAs%22,41750.0,Brazil
LUAN NOSSO ORGULHO,http://twitter.com/search?q=%22LUAN+NOSSO+ORGULHO%22,%22LUAN+NOSSO+ORGULHO%22,19618.0,Brazil
Baekhyun,http://twitter.com/search?q=Baekhyun,Baekhyun,118363.0,Brazil
Renê,http://twitter.com/search?q=Ren%C3%AA,Ren%C3%AA,17401.0,Brazil
Borel,http://twitter.com/search?q=Borel,Borel,14057.0,Brazil
ayato,http://twitter.com/search?q=ayato,ayato,14354.0,Brazil
Farsante,http://twitter.com/search?q=Farsante,Farsante,30639.0,Brazil
Arcrebiano,http://twitter.com/search?q=Arcrebiano,Arcrebiano,14409.0,Brazil
Adnet,http://twitter.com/search?q=Adnet,Adnet,11538.0,Brazil
Frouxo,http://twitter.com/search?q=Frouxo,Frouxo,11509.0,Brazil
O MBL,http://twitter.com/search?q=%22O+MBL%22,%22O+MBL%22,97109.0,Brazil
Mano Brown,http://twitter.com/search?q=%22Mano+Brown%22,%22Mano+Brown%22,13116.0,Brazil
BRICS,http://twitter.com/search?q=BRICS,BRICS,33624.0,Brazil
God of War,http://twitter.com/search?q=%22God+of+War%22,%22God+of+War%22,11838.0,Brazil
Jair,http://twitter.com/search?q=Jair,Jair,61870.0,Brazil
LISA SOLO DEBUT,http://twitter.com/search?q=%22LISA+SOLO+DEBUT%22,%22LISA+SOLO+DEBUT%22,520489.0,Brazil
Mileide,http://twitter.com/search?q=Mileide,Mileide,14435.0,Brazil
Poderes,http://twitter.com/search?q=Poderes,Poderes,32191.0,Brazil
jennie,http://twitter.com/search?q=jennie,jennie,604299.0,Brazil
