name,url,query,tweet_volume,country
#PlayStationShowcase,http://twitter.com/search?q=%23PlayStationShowcase,%23PlayStationShowcase,21396.0,Canada
Ravens,http://twitter.com/search?q=Ravens,Ravens,26291.0,Canada
Matrix,http://twitter.com/search?q=Matrix,Matrix,272976.0,Canada
Darren,http://twitter.com/search?q=Darren,Darren,17913.0,Canada
Rebel,http://twitter.com/search?q=Rebel,Rebel,60263.0,Canada
New World Order,http://twitter.com/search?q=%22New+World+Order%22,%22New+World+Order%22,77054.0,Canada
Bucs,http://twitter.com/search?q=Bucs,Bucs,26978.0,Canada
Normani,http://twitter.com/search?q=Normani,Normani,31219.0,Canada
Morpheus,http://twitter.com/search?q=Morpheus,Morpheus,15121.0,Canada
Packers,http://twitter.com/search?q=Packers,Packers,18228.0,Canada
Kick,http://twitter.com/search?q=Kick,Kick,83901.0,Canada
Cowboys,http://twitter.com/search?q=Cowboys,Cowboys,47105.0,Canada
Howard Stern,http://twitter.com/search?q=%22Howard+Stern%22,%22Howard+Stern%22,29779.0,Canada
Bills,http://twitter.com/search?q=Bills,Bills,70848.0,Canada
Chiefs,http://twitter.com/search?q=Chiefs,Chiefs,20949.0,Canada
Trinity,http://twitter.com/search?q=Trinity,Trinity,30715.0,Canada
John Wick,http://twitter.com/search?q=%22John+Wick%22,%22John+Wick%22,33846.0,Canada
Rand Paul,http://twitter.com/search?q=%22Rand+Paul%22,%22Rand+Paul%22,23837.0,Canada
Tom Brady,http://twitter.com/search?q=%22Tom+Brady%22,%22Tom+Brady%22,20304.0,Canada
Keanu,http://twitter.com/search?q=Keanu,Keanu,41902.0,Canada
jaehyun,http://twitter.com/search?q=jaehyun,jaehyun,304863.0,Canada
#thursdaymorning,http://twitter.com/search?q=%23thursdaymorning,%23thursdaymorning,18467.0,Canada
#Covid_19,http://twitter.com/search?q=%23Covid_19,%23Covid_19,40606.0,Canada
