name,url,query,tweet_volume,country
#btsdiamond,http://twitter.com/search?q=%23btsdiamond,%23btsdiamond,34673.0,Chile
#LaConvencionSeDefiende,http://twitter.com/search?q=%23LaConvencionSeDefiende,%23LaConvencionSeDefiende,16575.0,Chile
#LaConvencionSeDefiende,http://twitter.com/search?q=%23LaConvencionSeDefiende,%23LaConvencionSeDefiende,16575.0,Chile
#btsdiscography,http://twitter.com/search?q=%23btsdiscography,%23btsdiscography,32910.0,Chile
Matrix,http://twitter.com/search?q=Matrix,Matrix,272744.0,Chile
La Batalla de Chile,http://twitter.com/search?q=%22La+Batalla+de+Chile%22,%22La+Batalla+de+Chile%22,16348.0,Chile
Palma,http://twitter.com/search?q=Palma,Palma,10973.0,Chile
Rojas Vade,http://twitter.com/search?q=%22Rojas+Vade%22,%22Rojas+Vade%22,16181.0,Chile
Charles,http://twitter.com/search?q=Charles,Charles,53841.0,Chile
John Wick,http://twitter.com/search?q=%22John+Wick%22,%22John+Wick%22,33846.0,Chile
la pdi,http://twitter.com/search?q=%22la+pdi%22,%22la+pdi%22,20311.0,Chile
Patricio Guzmán,http://twitter.com/search?q=%22Patricio+Guzm%C3%A1n%22,%22Patricio+Guzm%C3%A1n%22,10981.0,Chile
Boric,http://twitter.com/search?q=Boric,Boric,11456.0,Chile
THUNDEROUS SO SSIX,http://twitter.com/search?q=%22THUNDEROUS+SO+SSIX%22,%22THUNDEROUS+SO+SSIX%22,103609.0,Chile
Junior,http://twitter.com/search?q=Junior,Junior,67252.0,Chile
Skill,http://twitter.com/search?q=Skill,Skill,46697.0,Chile
Fra Fra,http://twitter.com/search?q=%22Fra+Fra%22,%22Fra+Fra%22,20088.0,Chile
Baekhyun,http://twitter.com/search?q=Baekhyun,Baekhyun,118363.0,Chile
México,http://twitter.com/search?q=M%C3%A9xico,M%C3%A9xico,403168.0,Chile
REQUEST,http://twitter.com/search?q=REQUEST,REQUEST,212497.0,Chile
Barranquilla,http://twitter.com/search?q=Barranquilla,Barranquilla,27707.0,Chile
