name,url,query,tweet_volume,country
#btsdiamond,http://twitter.com/search?q=%23btsdiamond,%23btsdiamond,34673.0,Colombia
#btsdivine,http://twitter.com/search?q=%23btsdivine,%23btsdivine,33268.0,Colombia
#btsdiscography,http://twitter.com/search?q=%23btsdiscography,%23btsdiscography,32910.0,Colombia
Barranquilla,http://twitter.com/search?q=Barranquilla,Barranquilla,27707.0,Colombia
Karen Abudinen,http://twitter.com/search?q=%22Karen+Abudinen%22,%22Karen+Abudinen%22,39165.0,Colombia
#FelizJueves,http://twitter.com/search?q=%23FelizJueves,%23FelizJueves,22069.0,Colombia
Pastrana,http://twitter.com/search?q=Pastrana,Pastrana,30692.0,Colombia
Matrix,http://twitter.com/search?q=Matrix,Matrix,272976.0,Colombia
Rodríguez Orejuela,http://twitter.com/search?q=%22Rodr%C3%ADguez+Orejuela%22,%22Rodr%C3%ADguez+Orejuela%22,13278.0,Colombia
Día Nacional,http://twitter.com/search?q=%22D%C3%ADa+Nacional%22,%22D%C3%ADa+Nacional%22,12411.0,Colombia
Derechos Humanos,http://twitter.com/search?q=%22Derechos+Humanos%22,%22Derechos+Humanos%22,25211.0,Colombia
Edwin Ballesteros,http://twitter.com/search?q=%22Edwin+Ballesteros%22,%22Edwin+Ballesteros%22,11536.0,Colombia
René,http://twitter.com/search?q=Ren%C3%A9,Ren%C3%A9,17387.0,Colombia
Chile,http://twitter.com/search?q=Chile,Chile,149425.0,Colombia
Cali,http://twitter.com/search?q=Cali,Cali,49784.0,Colombia
Embajada,http://twitter.com/search?q=Embajada,Embajada,17542.0,Colombia
México,http://twitter.com/search?q=M%C3%A9xico,M%C3%A9xico,403168.0,Colombia
Samper,http://twitter.com/search?q=Samper,Samper,10417.0,Colombia
Santa Fe,http://twitter.com/search?q=%22Santa+Fe%22,%22Santa+Fe%22,15668.0,Colombia
Edmundo del Castillo,http://twitter.com/search?q=%22Edmundo+del+Castillo%22,%22Edmundo+del+Castillo%22,10944.0,Colombia
Char,http://twitter.com/search?q=Char,Char,41712.0,Colombia
John Wick,http://twitter.com/search?q=%22John+Wick%22,%22John+Wick%22,33846.0,Colombia
Keanu Reeves,http://twitter.com/search?q=%22Keanu+Reeves%22,%22Keanu+Reeves%22,32116.0,Colombia
DDHH,http://twitter.com/search?q=DDHH,DDHH,19151.0,Colombia
Bernie Sanders,http://twitter.com/search?q=%22Bernie+Sanders%22,%22Bernie+Sanders%22,25880.0,Colombia
Papo,http://twitter.com/search?q=Papo,Papo,52110.0,Colombia
Wolf,http://twitter.com/search?q=Wolf,Wolf,81039.0,Colombia
