name,url,query,tweet_volume,country
#btsdiscography,http://twitter.com/search?q=%23btsdiscography,%23btsdiscography,32644.0,Ecuador
#btsdivine,http://twitter.com/search?q=%23btsdivine,%23btsdivine,32938.0,Ecuador
#btsdiamond,http://twitter.com/search?q=%23btsdiamond,%23btsdiamond,34673.0,Ecuador
#3JIsBack,http://twitter.com/search?q=%233JIsBack,%233JIsBack,330783.0,Ecuador
Vogue,http://twitter.com/search?q=Vogue,Vogue,36167.0,Ecuador
Baekhyun,http://twitter.com/search?q=Baekhyun,Baekhyun,118300.0,Ecuador
Araujo,http://twitter.com/search?q=Araujo,Araujo,14282.0,Ecuador
3J BEST SUB-UNIT,http://twitter.com/search?q=%223J+BEST+SUB-UNIT%22,%223J+BEST+SUB-UNIT%22,131168.0,Ecuador
México,http://twitter.com/search?q=M%C3%A9xico,M%C3%A9xico,403168.0,Ecuador
Forbes,http://twitter.com/search?q=Forbes,Forbes,42180.0,Ecuador
Américas,http://twitter.com/search?q=Am%C3%A9ricas,Am%C3%A9ricas,19541.0,Ecuador
John Wick,http://twitter.com/search?q=%22John+Wick%22,%22John+Wick%22,33821.0,Ecuador
Reagan,http://twitter.com/search?q=Reagan,Reagan,13069.0,Ecuador
Nadia,http://twitter.com/search?q=Nadia,Nadia,18081.0,Ecuador
Jasmine,http://twitter.com/search?q=Jasmine,Jasmine,27032.0,Ecuador
Jeon Jungkook,http://twitter.com/search?q=%22Jeon+Jungkook%22,%22Jeon+Jungkook%22,121258.0,Ecuador
Sergio Ramírez,http://twitter.com/search?q=%22Sergio+Ram%C3%ADrez%22,%22Sergio+Ram%C3%ADrez%22,12310.0,Ecuador
Novak Djokovic,http://twitter.com/search?q=%22Novak+Djokovic%22,%22Novak+Djokovic%22,10121.0,Ecuador
Iglesias,http://twitter.com/search?q=Iglesias,Iglesias,26135.0,Ecuador
