name,url,query,tweet_volume,country
#سوبر_اليد_يااهلي,http://twitter.com/search?q=%23%D8%B3%D9%88%D8%A8%D8%B1_%D8%A7%D9%84%D9%8A%D8%AF_%D9%8A%D8%A7%D8%A7%D9%87%D9%84%D9%8A,%23%D8%B3%D9%88%D8%A8%D8%B1_%D8%A7%D9%84%D9%8A%D8%AF_%D9%8A%D8%A7%D8%A7%D9%87%D9%84%D9%8A,64943.0,Egypt
#كوماندوز_الزمالك_قدها,http://twitter.com/search?q=%23%D9%83%D9%88%D9%85%D8%A7%D9%86%D8%AF%D9%88%D8%B2_%D8%A7%D9%84%D8%B2%D9%85%D8%A7%D9%84%D9%83_%D9%82%D8%AF%D9%87%D8%A7,%23%D9%83%D9%88%D9%85%D8%A7%D9%86%D8%AF%D9%88%D8%B2_%D8%A7%D9%84%D8%B2%D9%85%D8%A7%D9%84%D9%83_%D9%82%D8%AF%D9%87%D8%A7,52340.0,Egypt
#سيد_عبد_الحفيظ,http://twitter.com/search?q=%23%D8%B3%D9%8A%D8%AF_%D8%B9%D8%A8%D8%AF_%D8%A7%D9%84%D8%AD%D9%81%D9%8A%D8%B8,%23%D8%B3%D9%8A%D8%AF_%D8%B9%D8%A8%D8%AF_%D8%A7%D9%84%D8%AD%D9%81%D9%8A%D8%B8,27169.0,Egypt
Baekhyun,http://twitter.com/search?q=Baekhyun,Baekhyun,118426.0,Egypt
اليوم الخميس,http://twitter.com/search?q=%22%D8%A7%D9%84%D9%8A%D9%88%D9%85+%D8%A7%D9%84%D8%AE%D9%85%D9%8A%D8%B3%22,%22%D8%A7%D9%84%D9%8A%D9%88%D9%85+%D8%A7%D9%84%D8%AE%D9%85%D9%8A%D8%B3%22,18149.0,Egypt
كاس العالم,http://twitter.com/search?q=%22%D9%83%D8%A7%D8%B3+%D8%A7%D9%84%D8%B9%D8%A7%D9%84%D9%85%22,%22%D9%83%D8%A7%D8%B3+%D8%A7%D9%84%D8%B9%D8%A7%D9%84%D9%85%22,19549.0,Egypt
DRUMMER JUNGKOOK,http://twitter.com/search?q=%22DRUMMER+JUNGKOOK%22,%22DRUMMER+JUNGKOOK%22,62652.0,Egypt
hoseok,http://twitter.com/search?q=hoseok,hoseok,265862.0,Egypt
Kylie,http://twitter.com/search?q=Kylie,Kylie,78238.0,Egypt
Director,http://twitter.com/search?q=Director,Director,153911.0,Egypt
