name,url,query,tweet_volume,country
#PlayStationShowcase,http://twitter.com/search?q=%23PlayStationShowcase,%23PlayStationShowcase,21396.0,France
Berserk,http://twitter.com/search?q=Berserk,Berserk,28636.0,France
God of War,http://twitter.com/search?q=%22God+of+War%22,%22God+of+War%22,11838.0,France
Belmondo,http://twitter.com/search?q=Belmondo,Belmondo,39563.0,France
Bebel,http://twitter.com/search?q=Bebel,Bebel,11010.0,France
Sony,http://twitter.com/search?q=Sony,Sony,51169.0,France
Xbox,http://twitter.com/search?q=Xbox,Xbox,84464.0,France
Professionnel,http://twitter.com/search?q=Professionnel,Professionnel,11854.0,France
Lucifer,http://twitter.com/search?q=Lucifer,Lucifer,31829.0,France
Miura,http://twitter.com/search?q=Miura,Miura,16003.0,France
2k22,http://twitter.com/search?q=2k22,2k22,27968.0,France
Guts,http://twitter.com/search?q=Guts,Guts,21786.0,France
Morpheus,http://twitter.com/search?q=Morpheus,Morpheus,15121.0,France
Simon,http://twitter.com/search?q=Simon,Simon,53514.0,France
Life is Strange,http://twitter.com/search?q=%22Life+is+Strange%22,%22Life+is+Strange%22,14315.0,France
Microsoft,http://twitter.com/search?q=Microsoft,Microsoft,61264.0,France
Keanu Reeves,http://twitter.com/search?q=%22Keanu+Reeves%22,%22Keanu+Reeves%22,32116.0,France
John Wick,http://twitter.com/search?q=%22John+Wick%22,%22John+Wick%22,33846.0,France
hyuna,http://twitter.com/search?q=hyuna,hyuna,45436.0,France
Dawn,http://twitter.com/search?q=Dawn,Dawn,98681.0,France
Lego,http://twitter.com/search?q=Lego,Lego,32812.0,France
#ZapponsMacron,http://twitter.com/search?q=%23ZapponsMacron,%23ZapponsMacron,15438.0,France
#Matrix,http://twitter.com/search?q=%23Matrix,%23Matrix,34804.0,France
