name,url,query,tweet_volume,country
Ronaldo,http://twitter.com/search?q=Ronaldo,Ronaldo,159174.0,Ghana
Poland,http://twitter.com/search?q=Poland,Poland,26110.0,Ghana
Pull,http://twitter.com/search?q=Pull,Pull,128550.0,Ghana
Wales,http://twitter.com/search?q=Wales,Wales,25340.0,Ghana
Supreme Court,http://twitter.com/search?q=%22Supreme+Court%22,%22Supreme+Court%22,57656.0,Ghana
Timo Werner,http://twitter.com/search?q=%22Timo+Werner%22,%22Timo+Werner%22,14000.0,Ghana
Cross,http://twitter.com/search?q=Cross,Cross,135795.0,Ghana
Matthew,http://twitter.com/search?q=Matthew,Matthew,27815.0,Ghana
Wike,http://twitter.com/search?q=Wike,Wike,46419.0,Ghana
Akan,http://twitter.com/search?q=Akan,Akan,169287.0,Ghana
Sarkodie,http://twitter.com/search?q=Sarkodie,Sarkodie,11366.0,Ghana
Belgium,http://twitter.com/search?q=Belgium,Belgium,14845.0,Ghana
Kurt,http://twitter.com/search?q=Kurt,Kurt,16018.0,Ghana
Joseph,http://twitter.com/search?q=Joseph,Joseph,46695.0,Ghana
