name,url,query,tweet_volume,country
#btsdiscography,http://twitter.com/search?q=%23btsdiscography,%23btsdiscography,32644.0,Guatemala
#btsdiamond,http://twitter.com/search?q=%23btsdiamond,%23btsdiamond,34673.0,Guatemala
#btsdivine,http://twitter.com/search?q=%23btsdivine,%23btsdivine,32938.0,Guatemala
#3JIsBack,http://twitter.com/search?q=%233JIsBack,%233JIsBack,330783.0,Guatemala
#RMDayConEntel,http://twitter.com/search?q=%23RMDayConEntel,%23RMDayConEntel,38592.0,Guatemala
Nicaragua,http://twitter.com/search?q=Nicaragua,Nicaragua,27811.0,Guatemala
Matrix,http://twitter.com/search?q=Matrix,Matrix,272744.0,Guatemala
México,http://twitter.com/search?q=M%C3%A9xico,M%C3%A9xico,402886.0,Guatemala
Honduras,http://twitter.com/search?q=Honduras,Honduras,36464.0,Guatemala
Griezmann,http://twitter.com/search?q=Griezmann,Griezmann,18193.0,Guatemala
Pistas de Blue,http://twitter.com/search?q=%22Pistas+de+Blue%22,%22Pistas+de+Blue%22,11362.0,Guatemala
Corea,http://twitter.com/search?q=Corea,Corea,68083.0,Guatemala
Congreso,http://twitter.com/search?q=Congreso,Congreso,98870.0,Guatemala
Panamá,http://twitter.com/search?q=Panam%C3%A1,Panam%C3%A1,48501.0,Guatemala
John Wick,http://twitter.com/search?q=%22John+Wick%22,%22John+Wick%22,33821.0,Guatemala
The Wanted,http://twitter.com/search?q=%22The+Wanted%22,%22The+Wanted%22,179822.0,Guatemala
Canadá,http://twitter.com/search?q=Canad%C3%A1,Canad%C3%A1,234502.0,Guatemala
Kylie,http://twitter.com/search?q=Kylie,Kylie,78178.0,Guatemala
Djokovic,http://twitter.com/search?q=Djokovic,Djokovic,29178.0,Guatemala
Keanu Reeves,http://twitter.com/search?q=%22Keanu+Reeves%22,%22Keanu+Reeves%22,32102.0,Guatemala
Yankees,http://twitter.com/search?q=Yankees,Yankees,41732.0,Guatemala
Lana,http://twitter.com/search?q=Lana,Lana,60938.0,Guatemala
Pfizer,http://twitter.com/search?q=Pfizer,Pfizer,179458.0,Guatemala
Sergio Ramírez,http://twitter.com/search?q=%22Sergio+Ram%C3%ADrez%22,%22Sergio+Ram%C3%ADrez%22,12305.0,Guatemala
Departamento,http://twitter.com/search?q=Departamento,Departamento,22395.0,Guatemala
Lorde,http://twitter.com/search?q=Lorde,Lorde,22629.0,Guatemala
