name,url,query,tweet_volume,country
#TuckJagadish,http://twitter.com/search?q=%23TuckJagadish,%23TuckJagadish,20261.0,India
Ganesh Chaturthi,http://twitter.com/search?q=%22Ganesh+Chaturthi%22,%22Ganesh+Chaturthi%22,20877.0,India
#पद्मश्री_रोहित_सरदाना,http://twitter.com/search?q=%23%E0%A4%AA%E0%A4%A6%E0%A5%8D%E0%A4%AE%E0%A4%B6%E0%A5%8D%E0%A4%B0%E0%A5%80_%E0%A4%B0%E0%A5%8B%E0%A4%B9%E0%A4%BF%E0%A4%A4_%E0%A4%B8%E0%A4%B0%E0%A4%A6%E0%A4%BE%E0%A4%A8%E0%A4%BE,%23%E0%A4%AA%E0%A4%A6%E0%A5%8D%E0%A4%AE%E0%A4%B6%E0%A5%8D%E0%A4%B0%E0%A5%80_%E0%A4%B0%E0%A5%8B%E0%A4%B9%E0%A4%BF%E0%A4%A4_%E0%A4%B8%E0%A4%B0%E0%A4%A6%E0%A4%BE%E0%A4%A8%E0%A4%BE,49588.0,India
Sushant A True Genius,http://twitter.com/search?q=%22Sushant+A+True+Genius%22,%22Sushant+A+True+Genius%22,51878.0,India
Ford,http://twitter.com/search?q=Ford,Ford,48153.0,India
Cosmic Energy Sushant,http://twitter.com/search?q=%22Cosmic+Energy+Sushant%22,%22Cosmic+Energy+Sushant%22,38745.0,India
Baekhyun,http://twitter.com/search?q=Baekhyun,Baekhyun,118426.0,India
Holder,http://twitter.com/search?q=Holder,Holder,30663.0,India
11YRS OF ICONIC DABANGG,http://twitter.com/search?q=%2211YRS+OF+ICONIC+DABANGG%22,%2211YRS+OF+ICONIC+DABANGG%22,54201.0,India
We Love You Namjoon,http://twitter.com/search?q=%22We+Love+You+Namjoon%22,%22We+Love+You+Namjoon%22,27947.0,India
Show Time,http://twitter.com/search?q=%22Show+Time%22,%22Show+Time%22,56047.0,India
वैष्णो देवी,http://twitter.com/search?q=%22%E0%A4%B5%E0%A5%88%E0%A4%B7%E0%A5%8D%E0%A4%A3%E0%A5%8B+%E0%A4%A6%E0%A5%87%E0%A4%B5%E0%A5%80%22,%22%E0%A4%B5%E0%A5%88%E0%A4%B7%E0%A5%8D%E0%A4%A3%E0%A5%8B+%E0%A4%A6%E0%A5%87%E0%A4%B5%E0%A5%80%22,29137.0,India
jaehyun,http://twitter.com/search?q=jaehyun,jaehyun,304911.0,India
BRICS,http://twitter.com/search?q=BRICS,BRICS,33630.0,India
John Wick,http://twitter.com/search?q=%22John+Wick%22,%22John+Wick%22,33861.0,India
Mata,http://twitter.com/search?q=Mata,Mata,134766.0,India
#PlayStationShowcase,http://twitter.com/search?q=%23PlayStationShowcase,%23PlayStationShowcase,21396.0,India
#Reflection5thAnniversary,http://twitter.com/search?q=%23Reflection5thAnniversary,%23Reflection5thAnniversary,54473.0,India
#TheMatrixResurrections,http://twitter.com/search?q=%23TheMatrixResurrections,%23TheMatrixResurrections,41273.0,India
#JayShah,http://twitter.com/search?q=%23JayShah,%23JayShah,12024.0,India
#HospitalPlaylist2Ep11,http://twitter.com/search?q=%23HospitalPlaylist2Ep11,%23HospitalPlaylist2Ep11,53665.0,India
#TodayIsLalisaDay,http://twitter.com/search?q=%23TodayIsLalisaDay,%23TodayIsLalisaDay,450625.0,India
#jethalal,http://twitter.com/search?q=%23jethalal,%23jethalal,11772.0,India
#RahulVaishnoDeviYatra,http://twitter.com/search?q=%23RahulVaishnoDeviYatra,%23RahulVaishnoDeviYatra,51375.0,India
