name,url,query,tweet_volume,country
#MNETDisrespectAdzan,http://twitter.com/search?q=%23MNETDisrespectAdzan,%23MNETDisrespectAdzan,71472.0,Indonesia
#HospitalPlaylistS2Ep11,http://twitter.com/search?q=%23HospitalPlaylistS2Ep11,%23HospitalPlaylistS2Ep11,71640.0,Indonesia
#NCTzenSelcaDay,http://twitter.com/search?q=%23NCTzenSelcaDay,%23NCTzenSelcaDay,552381.0,Indonesia
Baekhyun,http://twitter.com/search?q=Baekhyun,Baekhyun,118363.0,Indonesia
#TodayIsLalisaDay,http://twitter.com/search?q=%23TodayIsLalisaDay,%23TodayIsLalisaDay,450531.0,Indonesia
#NCTDREAM,http://twitter.com/search?q=%23NCTDREAM,%23NCTDREAM,147858.0,Indonesia
jaehyun,http://twitter.com/search?q=jaehyun,jaehyun,304863.0,Indonesia
Iksong,http://twitter.com/search?q=Iksong,Iksong,22262.0,Indonesia
Hosplay,http://twitter.com/search?q=Hosplay,Hosplay,10115.0,Indonesia
Ikjun,http://twitter.com/search?q=Ikjun,Ikjun,13481.0,Indonesia
Gomgom,http://twitter.com/search?q=Gomgom,Gomgom,10345.0,Indonesia
ATEEZ COMEBACK,http://twitter.com/search?q=%22ATEEZ+COMEBACK%22,%22ATEEZ+COMEBACK%22,32360.0,Indonesia
99 SECRETNUMBER TWICE,http://twitter.com/search?q=%2299+SECRETNUMBER+TWICE%22,%2299+SECRETNUMBER+TWICE%22,188810.0,Indonesia
Dita,http://twitter.com/search?q=Dita,Dita,32005.0,Indonesia
John Wick,http://twitter.com/search?q=%22John+Wick%22,%22John+Wick%22,33846.0,Indonesia
Hype,http://twitter.com/search?q=Hype,Hype,152257.0,Indonesia
Edukasi,http://twitter.com/search?q=Edukasi,Edukasi,11700.0,Indonesia
#NCT127,http://twitter.com/search?q=%23NCT127,%23NCT127,658858.0,Indonesia
#Shopee99xSECRETNUMBER,http://twitter.com/search?q=%23Shopee99xSECRETNUMBER,%23Shopee99xSECRETNUMBER,267834.0,Indonesia
#Shopee99xTWICE,http://twitter.com/search?q=%23Shopee99xTWICE,%23Shopee99xTWICE,237702.0,Indonesia
#99ShopeexSNTWICE,http://twitter.com/search?q=%2399ShopeexSNTWICE,%2399ShopeexSNTWICE,264211.0,Indonesia
#JAEMIN,http://twitter.com/search?q=%23JAEMIN,%23JAEMIN,83556.0,Indonesia
#3YearsWith100DMP,http://twitter.com/search?q=%233YearsWith100DMP,%233YearsWith100DMP,35845.0,Indonesia
#FreeWDW,http://twitter.com/search?q=%23FreeWDW,%23FreeWDW,14541.0,Indonesia
#HAECHAN,http://twitter.com/search?q=%23HAECHAN,%23HAECHAN,101738.0,Indonesia
#JENO,http://twitter.com/search?q=%23JENO,%23JENO,65080.0,Indonesia
#Reflection5thAnniversary,http://twitter.com/search?q=%23Reflection5thAnniversary,%23Reflection5thAnniversary,54473.0,Indonesia
#MantulHouse,http://twitter.com/search?q=%23MantulHouse,%23MantulHouse,116219.0,Indonesia
#MARK,http://twitter.com/search?q=%23MARK,%23MARK,106869.0,Indonesia
#SeptemberdiTokopedia,http://twitter.com/search?q=%23SeptemberdiTokopedia,%23SeptemberdiTokopedia,118928.0,Indonesia
#TraktiranPenggunaBaru,http://twitter.com/search?q=%23TraktiranPenggunaBaru,%23TraktiranPenggunaBaru,92223.0,Indonesia
#RENJUN,http://twitter.com/search?q=%23RENJUN,%23RENJUN,54027.0,Indonesia
#DOYOUNG,http://twitter.com/search?q=%23DOYOUNG,%23DOYOUNG,135724.0,Indonesia
#TAEYONG,http://twitter.com/search?q=%23TAEYONG,%23TAEYONG,87262.0,Indonesia
#ONEDAY,http://twitter.com/search?q=%23ONEDAY,%23ONEDAY,60654.0,Indonesia
#JOHNNY,http://twitter.com/search?q=%23JOHNNY,%23JOHNNY,45976.0,Indonesia
