name,url,query,tweet_volume,country
Matrix,http://twitter.com/search?q=Matrix,Matrix,272976.0,Ireland
Amazon,http://twitter.com/search?q=Amazon,Amazon,685138.0,Ireland
Noel,http://twitter.com/search?q=Noel,Noel,26981.0,Ireland
Kenny,http://twitter.com/search?q=Kenny,Kenny,25366.0,Ireland
New World Order,http://twitter.com/search?q=%22New+World+Order%22,%22New+World+Order%22,77158.0,Ireland
Jeffrey,http://twitter.com/search?q=Jeffrey,Jeffrey,14996.0,Ireland
Keanu,http://twitter.com/search?q=Keanu,Keanu,41930.0,Ireland
Life is Strange,http://twitter.com/search?q=%22Life+is+Strange%22,%22Life+is+Strange%22,14315.0,Ireland
Priti Patel,http://twitter.com/search?q=%22Priti+Patel%22,%22Priti+Patel%22,31684.0,Ireland
Morpheus,http://twitter.com/search?q=Morpheus,Morpheus,15121.0,Ireland
Brexit,http://twitter.com/search?q=Brexit,Brexit,99767.0,Ireland
John Wick,http://twitter.com/search?q=%22John+Wick%22,%22John+Wick%22,33846.0,Ireland
Intel,http://twitter.com/search?q=Intel,Intel,25808.0,Ireland
Tanya,http://twitter.com/search?q=Tanya,Tanya,40605.0,Ireland
Blues Clues,http://twitter.com/search?q=%22Blues+Clues%22,%22Blues+Clues%22,124103.0,Ireland
Cowboys,http://twitter.com/search?q=Cowboys,Cowboys,47105.0,Ireland
Christmas,http://twitter.com/search?q=Christmas,Christmas,67451.0,Ireland
Snap,http://twitter.com/search?q=Snap,Snap,65826.0,Ireland
Hospital,http://twitter.com/search?q=Hospital,Hospital,259913.0,Ireland
Torres,http://twitter.com/search?q=Torres,Torres,42804.0,Ireland
Channel,http://twitter.com/search?q=Channel,Channel,464006.0,Ireland
Draw,http://twitter.com/search?q=Draw,Draw,174627.0,Ireland
