name,url,query,tweet_volume,country
#ナインティナインANN,http://twitter.com/search?q=%23%E3%83%8A%E3%82%A4%E3%83%B3%E3%83%86%E3%82%A3%E3%83%8A%E3%82%A4%E3%83%B3ANN,%23%E3%83%8A%E3%82%A4%E3%83%B3%E3%83%86%E3%82%A3%E3%83%8A%E3%82%A4%E3%83%B3ANN,17075.0,Japan
#金村美玖生誕祭,http://twitter.com/search?q=%23%E9%87%91%E6%9D%91%E7%BE%8E%E7%8E%96%E7%94%9F%E8%AA%95%E7%A5%AD,%23%E9%87%91%E6%9D%91%E7%BE%8E%E7%8E%96%E7%94%9F%E8%AA%95%E7%A5%AD,20232.0,Japan
ランパート,http://twitter.com/search?q=%E3%83%A9%E3%83%B3%E3%83%91%E3%83%BC%E3%83%88,%E3%83%A9%E3%83%B3%E3%83%91%E3%83%BC%E3%83%88,21383.0,Japan
イータ株,http://twitter.com/search?q=%E3%82%A4%E3%83%BC%E3%82%BF%E6%A0%AA,%E3%82%A4%E3%83%BC%E3%82%BF%E6%A0%AA,14117.0,Japan
BL規制,http://twitter.com/search?q=BL%E8%A6%8F%E5%88%B6,BL%E8%A6%8F%E5%88%B6,23729.0,Japan
マトリックス,http://twitter.com/search?q=%E3%83%9E%E3%83%88%E3%83%AA%E3%83%83%E3%82%AF%E3%82%B9,%E3%83%9E%E3%83%88%E3%83%AA%E3%83%83%E3%82%AF%E3%82%B9,34984.0,Japan
レザレクションズ,http://twitter.com/search?q=%E3%83%AC%E3%82%B6%E3%83%AC%E3%82%AF%E3%82%B7%E3%83%A7%E3%83%B3%E3%82%BA,%E3%83%AC%E3%82%B6%E3%83%AC%E3%82%AF%E3%82%B7%E3%83%A7%E3%83%B3%E3%82%BA,17047.0,Japan
Pokémon Evolutions,http://twitter.com/search?q=%22Pok%C3%A9mon+Evolutions%22,%22Pok%C3%A9mon+Evolutions%22,14773.0,Japan
不良文化,http://twitter.com/search?q=%E4%B8%8D%E8%89%AF%E6%96%87%E5%8C%96,%E4%B8%8D%E8%89%AF%E6%96%87%E5%8C%96,40154.0,Japan
ミッドサマー,http://twitter.com/search?q=%E3%83%9F%E3%83%83%E3%83%89%E3%82%B5%E3%83%9E%E3%83%BC,%E3%83%9F%E3%83%83%E3%83%89%E3%82%B5%E3%83%9E%E3%83%BC,60472.0,Japan
復活当選,http://twitter.com/search?q=%E5%BE%A9%E6%B4%BB%E5%BD%93%E9%81%B8,%E5%BE%A9%E6%B4%BB%E5%BD%93%E9%81%B8,17949.0,Japan
Lemonade,http://twitter.com/search?q=Lemonade,Lemonade,743973.0,Japan
変異ウイルス,http://twitter.com/search?q=%E5%A4%89%E7%95%B0%E3%82%A6%E3%82%A4%E3%83%AB%E3%82%B9,%E5%A4%89%E7%95%B0%E3%82%A6%E3%82%A4%E3%83%AB%E3%82%B9,15213.0,Japan
えーりん,http://twitter.com/search?q=%E3%81%88%E3%83%BC%E3%82%8A%E3%82%93,%E3%81%88%E3%83%BC%E3%82%8A%E3%82%93,16635.0,Japan
