name,url,query,tweet_volume,country
#Kigeugeu,http://twitter.com/search?q=%23Kigeugeu,%23Kigeugeu,14488.0,Kenya
Laikipia,http://twitter.com/search?q=Laikipia,Laikipia,10437.0,Kenya
#JKLive,http://twitter.com/search?q=%23JKLive,%23JKLive,10389.0,Kenya
Omosh,http://twitter.com/search?q=Omosh,Omosh,11041.0,Kenya
#EndOfChurchAge,http://twitter.com/search?q=%23EndOfChurchAge,%23EndOfChurchAge,14608.0,Kenya
PLO Lumumba,http://twitter.com/search?q=%22PLO+Lumumba%22,%22PLO+Lumumba%22,12109.0,Kenya
Olympics,http://twitter.com/search?q=Olympics,Olympics,19141.0,Kenya
Admin,http://twitter.com/search?q=Admin,Admin,137772.0,Kenya
Poland,http://twitter.com/search?q=Poland,Poland,26110.0,Kenya
Malala,http://twitter.com/search?q=Malala,Malala,12655.0,Kenya
Agriculture,http://twitter.com/search?q=Agriculture,Agriculture,24126.0,Kenya
Matrix,http://twitter.com/search?q=Matrix,Matrix,273206.0,Kenya
Ronaldo,http://twitter.com/search?q=Ronaldo,Ronaldo,159174.0,Kenya
Drought,http://twitter.com/search?q=Drought,Drought,11224.0,Kenya
Timo Werner,http://twitter.com/search?q=%22Timo+Werner%22,%22Timo+Werner%22,14000.0,Kenya
