name,url,query,tweet_volume,country
#الخميس_الونيس,http://twitter.com/search?q=%23%D8%A7%D9%84%D8%AE%D9%85%D9%8A%D8%B3_%D8%A7%D9%84%D9%88%D9%86%D9%8A%D8%B3,%23%D8%A7%D9%84%D8%AE%D9%85%D9%8A%D8%B3_%D8%A7%D9%84%D9%88%D9%86%D9%8A%D8%B3,84336.0,Kuwait
#انقذوا_دانه_المساعيد,http://twitter.com/search?q=%23%D8%A7%D9%86%D9%82%D8%B0%D9%88%D8%A7_%D8%AF%D8%A7%D9%86%D9%87_%D8%A7%D9%84%D9%85%D8%B3%D8%A7%D8%B9%D9%8A%D8%AF,%23%D8%A7%D9%86%D9%82%D8%B0%D9%88%D8%A7_%D8%AF%D8%A7%D9%86%D9%87_%D8%A7%D9%84%D9%85%D8%B3%D8%A7%D8%B9%D9%8A%D8%AF,36090.0,Kuwait
#يسقط_النقاب,http://twitter.com/search?q=%23%D9%8A%D8%B3%D9%82%D8%B7_%D8%A7%D9%84%D9%86%D9%82%D8%A7%D8%A8,%23%D9%8A%D8%B3%D9%82%D8%B7_%D8%A7%D9%84%D9%86%D9%82%D8%A7%D8%A8,42326.0,Kuwait
#صباح_Iلخير,http://twitter.com/search?q=%23%D8%B5%D8%A8%D8%A7%D8%AD_I%D9%84%D8%AE%D9%8A%D8%B1,%23%D8%B5%D8%A8%D8%A7%D8%AD_I%D9%84%D8%AE%D9%8A%D8%B1,27777.0,Kuwait
اليوم الخميس,http://twitter.com/search?q=%22%D8%A7%D9%84%D9%8A%D9%88%D9%85+%D8%A7%D9%84%D8%AE%D9%85%D9%8A%D8%B3%22,%22%D8%A7%D9%84%D9%8A%D9%88%D9%85+%D8%A7%D9%84%D8%AE%D9%85%D9%8A%D8%B3%22,18168.0,Kuwait
الاتحاد,http://twitter.com/search?q=%D8%A7%D9%84%D8%A7%D8%AA%D8%AD%D8%A7%D8%AF,%D8%A7%D9%84%D8%A7%D8%AA%D8%AD%D8%A7%D8%AF,56625.0,Kuwait
محمد,http://twitter.com/search?q=%D9%85%D8%AD%D9%85%D8%AF,%D9%85%D8%AD%D9%85%D8%AF,338836.0,Kuwait
Apple,http://twitter.com/search?q=Apple,Apple,399886.0,Kuwait
Pokémon,http://twitter.com/search?q=Pok%C3%A9mon,Pok%C3%A9mon,155698.0,Kuwait
سليمان,http://twitter.com/search?q=%D8%B3%D9%84%D9%8A%D9%85%D8%A7%D9%86,%D8%B3%D9%84%D9%8A%D9%85%D8%A7%D9%86,11024.0,Kuwait
