name,url,query,tweet_volume,country
#تخيل_وتخير,http://twitter.com/search?q=%23%D8%AA%D8%AE%D9%8A%D9%84_%D9%88%D8%AA%D8%AE%D9%8A%D8%B1,%23%D8%AA%D8%AE%D9%8A%D9%84_%D9%88%D8%AA%D8%AE%D9%8A%D8%B1,12620.0,Lebanon
hobi,http://twitter.com/search?q=hobi,hobi,247766.0,Lebanon
Bayern,http://twitter.com/search?q=Bayern,Bayern,22515.0,Lebanon
وليد,http://twitter.com/search?q=%D9%88%D9%84%D9%8A%D8%AF,%D9%88%D9%84%D9%8A%D8%AF,12068.0,Lebanon
Iran,http://twitter.com/search?q=Iran,Iran,63550.0,Lebanon
Paris,http://twitter.com/search?q=Paris,Paris,134572.0,Lebanon
Egypt,http://twitter.com/search?q=Egypt,Egypt,22917.0,Lebanon
علي محمد,http://twitter.com/search?q=%22%D8%B9%D9%84%D9%8A+%D9%85%D8%AD%D9%85%D8%AF%22,%22%D8%B9%D9%84%D9%8A+%D9%85%D8%AD%D9%85%D8%AF%22,170721.0,Lebanon
Saudi,http://twitter.com/search?q=Saudi,Saudi,36436.0,Lebanon
عبدالله,http://twitter.com/search?q=%D8%B9%D8%A8%D8%AF%D8%A7%D9%84%D9%84%D9%87,%D8%B9%D8%A8%D8%AF%D8%A7%D9%84%D9%84%D9%87,69684.0,Lebanon
Israeli,http://twitter.com/search?q=Israeli,Israeli,35767.0,Lebanon
Megan,http://twitter.com/search?q=Megan,Megan,522285.0,Lebanon
Lucky,http://twitter.com/search?q=Lucky,Lucky,333844.0,Lebanon
مريم,http://twitter.com/search?q=%D9%85%D8%B1%D9%8A%D9%85,%D9%85%D8%B1%D9%8A%D9%85,23025.0,Lebanon
Liverpool,http://twitter.com/search?q=Liverpool,Liverpool,35978.0,Lebanon
Selena,http://twitter.com/search?q=Selena,Selena,50209.0,Lebanon
Bless,http://twitter.com/search?q=Bless,Bless,137952.0,Lebanon
كاس العالم,http://twitter.com/search?q=%22%D9%83%D8%A7%D8%B3+%D8%A7%D9%84%D8%B9%D8%A7%D9%84%D9%85%22,%22%D9%83%D8%A7%D8%B3+%D8%A7%D9%84%D8%B9%D8%A7%D9%84%D9%85%22,19549.0,Lebanon
Lana,http://twitter.com/search?q=Lana,Lana,60965.0,Lebanon
ابو علي,http://twitter.com/search?q=%22%D8%A7%D8%A8%D9%88+%D8%B9%D9%84%D9%8A%22,%22%D8%A7%D8%A8%D9%88+%D8%B9%D9%84%D9%8A%22,14602.0,Lebanon
COVID-19,http://twitter.com/search?q=COVID-19,COVID-19,555751.0,Lebanon
Palestinian,http://twitter.com/search?q=Palestinian,Palestinian,25809.0,Lebanon
