name,url,query,tweet_volume,country
#HospitalPlaylistS2Ep11,http://twitter.com/search?q=%23HospitalPlaylistS2Ep11,%23HospitalPlaylistS2Ep11,71640.0,Malaysia
#NCTzenSelcaDay,http://twitter.com/search?q=%23NCTzenSelcaDay,%23NCTzenSelcaDay,552309.0,Malaysia
Baekhyun,http://twitter.com/search?q=Baekhyun,Baekhyun,118363.0,Malaysia
#Thunderous6thWin,http://twitter.com/search?q=%23Thunderous6thWin,%23Thunderous6thWin,221706.0,Malaysia
#astarvocalistjunkyuday,http://twitter.com/search?q=%23astarvocalistjunkyuday,%23astarvocalistjunkyuday,152508.0,Malaysia
#3JIsBack,http://twitter.com/search?q=%233JIsBack,%233JIsBack,330809.0,Malaysia
jaehyun,http://twitter.com/search?q=jaehyun,jaehyun,304911.0,Malaysia
BTOB,http://twitter.com/search?q=BTOB,BTOB,180008.0,Malaysia
THUNDEROUS SO SSIX,http://twitter.com/search?q=%22THUNDEROUS+SO+SSIX%22,%22THUNDEROUS+SO+SSIX%22,103609.0,Malaysia
come and join the outsider,http://twitter.com/search?q=%22come+and+join+the+outsider%22,%22come+and+join+the+outsider%22,11966.0,Malaysia
DEAREST MAKNAE CHANWOO,http://twitter.com/search?q=%22DEAREST+MAKNAE+CHANWOO%22,%22DEAREST+MAKNAE+CHANWOO%22,57588.0,Malaysia
jennie kim,http://twitter.com/search?q=%22jennie+kim%22,%22jennie+kim%22,203596.0,Malaysia
yuta,http://twitter.com/search?q=yuta,yuta,116839.0,Malaysia
Puan,http://twitter.com/search?q=Puan,Puan,21304.0,Malaysia
Calvin Klein,http://twitter.com/search?q=%22Calvin+Klein%22,%22Calvin+Klein%22,313003.0,Malaysia
Sabrina,http://twitter.com/search?q=Sabrina,Sabrina,69673.0,Malaysia
shopee mss,http://twitter.com/search?q=%22shopee+mss%22,%22shopee+mss%22,316248.0,Malaysia
jongin,http://twitter.com/search?q=jongin,jongin,38685.0,Malaysia
hobi,http://twitter.com/search?q=hobi,hobi,247692.0,Malaysia
hyuna,http://twitter.com/search?q=hyuna,hyuna,45436.0,Malaysia
John Wick,http://twitter.com/search?q=%22John+Wick%22,%22John+Wick%22,33861.0,Malaysia
0X1LOVESONG REMIX TOMORROW,http://twitter.com/search?q=%220X1LOVESONG+REMIX+TOMORROW%22,%220X1LOVESONG+REMIX+TOMORROW%22,10116.0,Malaysia
ITZY GETTIN LOCO,http://twitter.com/search?q=%22ITZY+GETTIN+LOCO%22,%22ITZY+GETTIN+LOCO%22,34046.0,Malaysia
iPhone 14,http://twitter.com/search?q=%22iPhone+14%22,%22iPhone+14%22,51423.0,Malaysia
Celine,http://twitter.com/search?q=Celine,Celine,147920.0,Malaysia
9.9 Sale,http://twitter.com/search?q=%229.9+Sale%22,%229.9+Sale%22,71475.0,Malaysia
Razor,http://twitter.com/search?q=Razor,Razor,91950.0,Malaysia
Azan,http://twitter.com/search?q=Azan,Azan,13631.0,Malaysia
ayato,http://twitter.com/search?q=ayato,ayato,14354.0,Malaysia
Blues Clues,http://twitter.com/search?q=%22Blues+Clues%22,%22Blues+Clues%22,124057.0,Malaysia
Jung Hoseok,http://twitter.com/search?q=%22Jung+Hoseok%22,%22Jung+Hoseok%22,63788.0,Malaysia
Park Jimin,http://twitter.com/search?q=%22Park+Jimin%22,%22Park+Jimin%22,109588.0,Malaysia
Missing You,http://twitter.com/search?q=%22Missing+You%22,%22Missing+You%22,57972.0,Malaysia
A.C.E,http://twitter.com/search?q=A.C.E,A.C.E,90943.0,Malaysia
THEY DID,http://twitter.com/search?q=%22THEY+DID%22,%22THEY+DID%22,272633.0,Malaysia
BE AMAZING LIKE ANYONE ELSE,http://twitter.com/search?q=%22BE+AMAZING+LIKE+ANYONE+ELSE%22,%22BE+AMAZING+LIKE+ANYONE+ELSE%22,10772.0,Malaysia
Jessi,http://twitter.com/search?q=Jessi,Jessi,28920.0,Malaysia
Kevin,http://twitter.com/search?q=Kevin,Kevin,104868.0,Malaysia
taeyong,http://twitter.com/search?q=taeyong,taeyong,134971.0,Malaysia
Morpheus,http://twitter.com/search?q=Morpheus,Morpheus,15121.0,Malaysia
ATEEZ COMEBACK,http://twitter.com/search?q=%22ATEEZ+COMEBACK%22,%22ATEEZ+COMEBACK%22,32360.0,Malaysia
Ronaldo,http://twitter.com/search?q=Ronaldo,Ronaldo,159174.0,Malaysia
