name,url,query,tweet_volume,country
#btsdivine,http://twitter.com/search?q=%23btsdivine,%23btsdivine,32938.0,Mexico
#btsdiscography,http://twitter.com/search?q=%23btsdiscography,%23btsdiscography,32644.0,Mexico
#btsdiamond,http://twitter.com/search?q=%23btsdiamond,%23btsdiamond,34335.0,Mexico
Cowboys,http://twitter.com/search?q=Cowboys,Cowboys,47105.0,Mexico
Buccaneers,http://twitter.com/search?q=Buccaneers,Buccaneers,37262.0,Mexico
Bucs,http://twitter.com/search?q=Bucs,Bucs,26978.0,Mexico
Alberto Peláez,http://twitter.com/search?q=%22Alberto+Pel%C3%A1ez%22,%22Alberto+Pel%C3%A1ez%22,17063.0,Mexico
Papo,http://twitter.com/search?q=Papo,Papo,52110.0,Mexico
Abierta,http://twitter.com/search?q=Abierta,Abierta,27772.0,Mexico
John Wick,http://twitter.com/search?q=%22John+Wick%22,%22John+Wick%22,33846.0,Mexico
Skill,http://twitter.com/search?q=Skill,Skill,46697.0,Mexico
Baekhyun,http://twitter.com/search?q=Baekhyun,Baekhyun,118363.0,Mexico
Ravens,http://twitter.com/search?q=Ravens,Ravens,26865.0,Mexico
Wolf,http://twitter.com/search?q=Wolf,Wolf,81039.0,Mexico
Keanu Reeves,http://twitter.com/search?q=%22Keanu+Reeves%22,%22Keanu+Reeves%22,32116.0,Mexico
God of War,http://twitter.com/search?q=%22God+of+War%22,%22God+of+War%22,11838.0,Mexico
Crash,http://twitter.com/search?q=Crash,Crash,59661.0,Mexico
Brady,http://twitter.com/search?q=Brady,Brady,37097.0,Mexico
López-Gatell,http://twitter.com/search?q=L%C3%B3pez-Gatell,L%C3%B3pez-Gatell,14644.0,Mexico
Seungmin,http://twitter.com/search?q=Seungmin,Seungmin,75430.0,Mexico
ES HOY,http://twitter.com/search?q=%22ES+HOY%22,%22ES+HOY%22,218483.0,Mexico
hyuna,http://twitter.com/search?q=hyuna,hyuna,45426.0,Mexico
5sos,http://twitter.com/search?q=5sos,5sos,35850.0,Mexico
Pleno,http://twitter.com/search?q=Pleno,Pleno,30739.0,Mexico
