name,url,query,tweet_volume,country
Gideon,http://twitter.com/search?q=Gideon,Gideon,11156.0,Netherlands
Akara,http://twitter.com/search?q=Akara,Akara,21372.0,Netherlands
New World Order,http://twitter.com/search?q=%22New+World+Order%22,%22New+World+Order%22,77158.0,Netherlands
Wike,http://twitter.com/search?q=Wike,Wike,46419.0,Netherlands
Engel,http://twitter.com/search?q=Engel,Engel,11940.0,Netherlands
Forum,http://twitter.com/search?q=Forum,Forum,50715.0,Netherlands
Asterix,http://twitter.com/search?q=Asterix,Asterix,14118.0,Netherlands
Raven,http://twitter.com/search?q=Raven,Raven,22443.0,Netherlands
John Wick,http://twitter.com/search?q=%22John+Wick%22,%22John+Wick%22,33846.0,Netherlands
Oliveira,http://twitter.com/search?q=Oliveira,Oliveira,15474.0,Netherlands
