name,url,query,tweet_volume,country
Spain,http://twitter.com/search?q=Spain,Spain,42584.0,New Zealand
Lorde,http://twitter.com/search?q=Lorde,Lorde,22635.0,New Zealand
Matrix,http://twitter.com/search?q=Matrix,Matrix,273206.0,New Zealand
Glasgow,http://twitter.com/search?q=Glasgow,Glasgow,16112.0,New Zealand
Solar Power,http://twitter.com/search?q=%22Solar+Power%22,%22Solar+Power%22,12028.0,New Zealand
#NBA2K22,http://twitter.com/search?q=%23NBA2K22,%23NBA2K22,20233.0,New Zealand
#BTS_Butter,http://twitter.com/search?q=%23BTS_Butter,%23BTS_Butter,493775.0,New Zealand
Supreme Court,http://twitter.com/search?q=%22Supreme+Court%22,%22Supreme+Court%22,57656.0,New Zealand
Blues Clues,http://twitter.com/search?q=%22Blues+Clues%22,%22Blues+Clues%22,124103.0,New Zealand
Fidel,http://twitter.com/search?q=Fidel,Fidel,14989.0,New Zealand
Zara,http://twitter.com/search?q=Zara,Zara,24290.0,New Zealand
Scotland,http://twitter.com/search?q=Scotland,Scotland,68757.0,New Zealand
North Korea,http://twitter.com/search?q=%22North+Korea%22,%22North+Korea%22,10988.0,New Zealand
Jordan,http://twitter.com/search?q=Jordan,Jordan,102826.0,New Zealand
Level 2,http://twitter.com/search?q=%22Level+2%22,%22Level+2%22,15758.0,New Zealand
Gladys,http://twitter.com/search?q=Gladys,Gladys,24615.0,New Zealand
Guardian,http://twitter.com/search?q=Guardian,Guardian,77664.0,New Zealand
Afghanistan,http://twitter.com/search?q=Afghanistan,Afghanistan,483513.0,New Zealand
New World,http://twitter.com/search?q=%22New+World%22,%22New+World%22,162120.0,New Zealand
Kenny,http://twitter.com/search?q=Kenny,Kenny,25381.0,New Zealand
Indigenous,http://twitter.com/search?q=Indigenous,Indigenous,40538.0,New Zealand
Tesla,http://twitter.com/search?q=Tesla,Tesla,55856.0,New Zealand
Covid,http://twitter.com/search?q=Covid,Covid,1514398.0,New Zealand
Fauci,http://twitter.com/search?q=Fauci,Fauci,127502.0,New Zealand
New York,http://twitter.com/search?q=%22New+York%22,%22New+York%22,157290.0,New Zealand
Trans,http://twitter.com/search?q=Trans,Trans,178194.0,New Zealand
Kendrick,http://twitter.com/search?q=Kendrick,Kendrick,28886.0,New Zealand
John Mulaney,http://twitter.com/search?q=%22John+Mulaney%22,%22John+Mulaney%22,10133.0,New Zealand
