name,url,query,tweet_volume,country
Akara,http://twitter.com/search?q=Akara,Akara,21372.0,Nigeria
#AskTems,http://twitter.com/search?q=%23AskTems,%23AskTems,16225.0,Nigeria
Wike,http://twitter.com/search?q=Wike,Wike,46444.0,Nigeria
Annie,http://twitter.com/search?q=Annie,Annie,34052.0,Nigeria
Ronaldo,http://twitter.com/search?q=Ronaldo,Ronaldo,159174.0,Nigeria
FIRS,http://twitter.com/search?q=FIRS,FIRS,15886.0,Nigeria
IPOB,http://twitter.com/search?q=IPOB,IPOB,30276.0,Nigeria
Imo State,http://twitter.com/search?q=%22Imo+State%22,%22Imo+State%22,32276.0,Nigeria
Pele,http://twitter.com/search?q=Pele,Pele,19339.0,Nigeria
North,http://twitter.com/search?q=North,North,164053.0,Nigeria
Christians,http://twitter.com/search?q=Christians,Christians,22722.0,Nigeria
Kano,http://twitter.com/search?q=Kano,Kano,34019.0,Nigeria
Werner,http://twitter.com/search?q=Werner,Werner,25189.0,Nigeria
Lewandowski,http://twitter.com/search?q=Lewandowski,Lewandowski,25761.0,Nigeria
Lagos,http://twitter.com/search?q=Lagos,Lagos,52006.0,Nigeria
Mazi,http://twitter.com/search?q=Mazi,Mazi,11444.0,Nigeria
South East,http://twitter.com/search?q=%22South+East%22,%22South+East%22,11074.0,Nigeria
Haaland,http://twitter.com/search?q=Haaland,Haaland,14623.0,Nigeria
Canada,http://twitter.com/search?q=Canada,Canada,234478.0,Nigeria
Poland,http://twitter.com/search?q=Poland,Poland,26110.0,Nigeria
Maguire,http://twitter.com/search?q=Maguire,Maguire,11517.0,Nigeria
England,http://twitter.com/search?q=England,England,117728.0,Nigeria
German,http://twitter.com/search?q=German,German,54113.0,Nigeria
Rivers,http://twitter.com/search?q=Rivers,Rivers,37461.0,Nigeria
Emma,http://twitter.com/search?q=Emma,Emma,71868.0,Nigeria
Arteta,http://twitter.com/search?q=Arteta,Arteta,10414.0,Nigeria
Arsenal,http://twitter.com/search?q=Arsenal,Arsenal,59323.0,Nigeria
Bubu,http://twitter.com/search?q=Bubu,Bubu,12881.0,Nigeria
