name,url,query,tweet_volume,country
Matrix,http://twitter.com/search?q=Matrix,Matrix,272976.0,Norway
Kurt,http://twitter.com/search?q=Kurt,Kurt,16000.0,Norway
Canada,http://twitter.com/search?q=Canada,Canada,234478.0,Norway
Kabul,http://twitter.com/search?q=Kabul,Kabul,159932.0,Norway
Qatar,http://twitter.com/search?q=Qatar,Qatar,36155.0,Norway
Depends,http://twitter.com/search?q=Depends,Depends,48056.0,Norway
Moderna,http://twitter.com/search?q=Moderna,Moderna,41866.0,Norway
Poland,http://twitter.com/search?q=Poland,Poland,26108.0,Norway
Jota,http://twitter.com/search?q=Jota,Jota,11666.0,Norway
#FFXIV400kSweepstakes,http://twitter.com/search?q=%23FFXIV400kSweepstakes,%23FFXIV400kSweepstakes,11490.0,Norway
Iceland,http://twitter.com/search?q=Iceland,Iceland,15163.0,Norway
tinder,http://twitter.com/search?q=tinder,tinder,41658.0,Norway
Champions League,http://twitter.com/search?q=%22Champions+League%22,%22Champions+League%22,29562.0,Norway
Buhari,http://twitter.com/search?q=Buhari,Buhari,50793.0,Norway
Barca,http://twitter.com/search?q=Barca,Barca,42222.0,Norway
Phil,http://twitter.com/search?q=Phil,Phil,33347.0,Norway
New World Order,http://twitter.com/search?q=%22New+World+Order%22,%22New+World+Order%22,77158.0,Norway
hobi,http://twitter.com/search?q=hobi,hobi,247692.0,Norway
Werner,http://twitter.com/search?q=Werner,Werner,25189.0,Norway
Japan,http://twitter.com/search?q=Japan,Japan,348777.0,Norway
