name,url,query,tweet_volume,country
#انقذوا_دانه_المساعيد,http://twitter.com/search?q=%23%D8%A7%D9%86%D9%82%D8%B0%D9%88%D8%A7_%D8%AF%D8%A7%D9%86%D9%87_%D8%A7%D9%84%D9%85%D8%B3%D8%A7%D8%B9%D9%8A%D8%AF,%23%D8%A7%D9%86%D9%82%D8%B0%D9%88%D8%A7_%D8%AF%D8%A7%D9%86%D9%87_%D8%A7%D9%84%D9%85%D8%B3%D8%A7%D8%B9%D9%8A%D8%AF,36071.0,Oman
اليوم الخميس,http://twitter.com/search?q=%22%D8%A7%D9%84%D9%8A%D9%88%D9%85+%D8%A7%D9%84%D8%AE%D9%85%D9%8A%D8%B3%22,%22%D8%A7%D9%84%D9%8A%D9%88%D9%85+%D8%A7%D9%84%D8%AE%D9%85%D9%8A%D8%B3%22,18149.0,Oman
محمد,http://twitter.com/search?q=%D9%85%D8%AD%D9%85%D8%AF,%D9%85%D8%AD%D9%85%D8%AF,338836.0,Oman
الهلال,http://twitter.com/search?q=%D8%A7%D9%84%D9%87%D9%84%D8%A7%D9%84,%D8%A7%D9%84%D9%87%D9%84%D8%A7%D9%84,64725.0,Oman
Messi,http://twitter.com/search?q=Messi,Messi,128469.0,Oman
تويتر,http://twitter.com/search?q=%D8%AA%D9%88%D9%8A%D8%AA%D8%B1,%D8%AA%D9%88%D9%8A%D8%AA%D8%B1,75184.0,Oman
الرياض,http://twitter.com/search?q=%D8%A7%D9%84%D8%B1%D9%8A%D8%A7%D8%B6,%D8%A7%D9%84%D8%B1%D9%8A%D8%A7%D8%B6,182175.0,Oman
أمريكا,http://twitter.com/search?q=%D8%A3%D9%85%D8%B1%D9%8A%D9%83%D8%A7,%D8%A3%D9%85%D8%B1%D9%8A%D9%83%D8%A7,40727.0,Oman
ابراهيم,http://twitter.com/search?q=%D8%A7%D8%A8%D8%B1%D8%A7%D9%87%D9%8A%D9%85,%D8%A7%D8%A8%D8%B1%D8%A7%D9%87%D9%8A%D9%85,35135.0,Oman
Afghanistan,http://twitter.com/search?q=Afghanistan,Afghanistan,483513.0,Oman
Taliban,http://twitter.com/search?q=Taliban,Taliban,446402.0,Oman
أحمد,http://twitter.com/search?q=%D8%A3%D8%AD%D9%85%D8%AF,%D8%A3%D8%AD%D9%85%D8%AF,83815.0,Oman
namjoon,http://twitter.com/search?q=namjoon,namjoon,239120.0,Oman
كره القدم,http://twitter.com/search?q=%22%D9%83%D8%B1%D9%87+%D8%A7%D9%84%D9%82%D8%AF%D9%85%22,%22%D9%83%D8%B1%D9%87+%D8%A7%D9%84%D9%82%D8%AF%D9%85%22,10170.0,Oman
سلمان,http://twitter.com/search?q=%D8%B3%D9%84%D9%85%D8%A7%D9%86,%D8%B3%D9%84%D9%85%D8%A7%D9%86,25730.0,Oman
Muscat,http://twitter.com/search?q=Muscat,Muscat,14142.0,Oman
رونالدو,http://twitter.com/search?q=%D8%B1%D9%88%D9%86%D8%A7%D9%84%D8%AF%D9%88,%D8%B1%D9%88%D9%86%D8%A7%D9%84%D8%AF%D9%88,10890.0,Oman
