name,url,query,tweet_volume,country
#reschedule_datesheetuhs,http://twitter.com/search?q=%23reschedule_datesheetuhs,%23reschedule_datesheetuhs,34932.0,Pakistan
Iran,http://twitter.com/search?q=Iran,Iran,63550.0,Pakistan
May Allah,http://twitter.com/search?q=%22May+Allah%22,%22May+Allah%22,19083.0,Pakistan
Youtuber,http://twitter.com/search?q=Youtuber,Youtuber,43956.0,Pakistan
Baekhyun,http://twitter.com/search?q=Baekhyun,Baekhyun,118426.0,Pakistan
Rest In Peace,http://twitter.com/search?q=%22Rest+In+Peace%22,%22Rest+In+Peace%22,45047.0,Pakistan
MS Dhoni,http://twitter.com/search?q=%22MS+Dhoni%22,%22MS+Dhoni%22,24336.0,Pakistan
Emerald,http://twitter.com/search?q=Emerald,Emerald,12314.0,Pakistan
Jazz,http://twitter.com/search?q=Jazz,Jazz,28606.0,Pakistan
iPhone 12,http://twitter.com/search?q=%22iPhone+12%22,%22iPhone+12%22,64889.0,Pakistan
Journalist,http://twitter.com/search?q=Journalist,Journalist,46080.0,Pakistan
Megan,http://twitter.com/search?q=Megan,Megan,522285.0,Pakistan
Nani,http://twitter.com/search?q=Nani,Nani,31634.0,Pakistan
Park Jimin,http://twitter.com/search?q=%22Park+Jimin%22,%22Park+Jimin%22,109627.0,Pakistan
hoseok,http://twitter.com/search?q=hoseok,hoseok,265862.0,Pakistan
Inna,http://twitter.com/search?q=Inna,Inna,11663.0,Pakistan
gill,http://twitter.com/search?q=gill,gill,28865.0,Pakistan
Syria,http://twitter.com/search?q=Syria,Syria,18137.0,Pakistan
Chahal,http://twitter.com/search?q=Chahal,Chahal,14541.0,Pakistan
