name,url,query,tweet_volume,country
México,http://twitter.com/search?q=M%C3%A9xico,M%C3%A9xico,403482.0,Panama
#btsdivine,http://twitter.com/search?q=%23btsdivine,%23btsdivine,33617.0,Panama
#btsdiscography,http://twitter.com/search?q=%23btsdiscography,%23btsdiscography,33254.0,Panama
#btsdiamond,http://twitter.com/search?q=%23btsdiamond,%23btsdiamond,35004.0,Panama
Andrade,http://twitter.com/search?q=Andrade,Andrade,10732.0,Panama
#FMSInternacional,http://twitter.com/search?q=%23FMSInternacional,%23FMSInternacional,18378.0,Panama
Guerrero,http://twitter.com/search?q=Guerrero,Guerrero,21493.0,Panama
#RMDayConEntel,http://twitter.com/search?q=%23RMDayConEntel,%23RMDayConEntel,38593.0,Panama
Honduras,http://twitter.com/search?q=Honduras,Honduras,36493.0,Panama
Concacaf,http://twitter.com/search?q=Concacaf,Concacaf,16144.0,Panama
Coco,http://twitter.com/search?q=Coco,Coco,60539.0,Panama
hobi,http://twitter.com/search?q=hobi,hobi,247766.0,Panama
Canadá,http://twitter.com/search?q=Canad%C3%A1,Canad%C3%A1,234666.0,Panama
Davis,http://twitter.com/search?q=Davis,Davis,25253.0,Panama
Vete,http://twitter.com/search?q=Vete,Vete,10745.0,Panama
Ochoa,http://twitter.com/search?q=Ochoa,Ochoa,15632.0,Panama
Mexicanos,http://twitter.com/search?q=Mexicanos,Mexicanos,33659.0,Panama
ESPN,http://twitter.com/search?q=ESPN,ESPN,71271.0,Panama
WhatsApp,http://twitter.com/search?q=WhatsApp,WhatsApp,210322.0,Panama
hoseok,http://twitter.com/search?q=hoseok,hoseok,265911.0,Panama
