name,url,query,tweet_volume,country
#btsdiscography,http://twitter.com/search?q=%23btsdiscography,%23btsdiscography,32644.0,Peru
#btsdiamond,http://twitter.com/search?q=%23btsdiamond,%23btsdiamond,34673.0,Peru
#btsdivine,http://twitter.com/search?q=%23btsdivine,%23btsdivine,32938.0,Peru
#FMSInternacional,http://twitter.com/search?q=%23FMSInternacional,%23FMSInternacional,18099.0,Peru
#RMDayConEntel,http://twitter.com/search?q=%23RMDayConEntel,%23RMDayConEntel,38592.0,Peru
Skill,http://twitter.com/search?q=Skill,Skill,46697.0,Peru
Strike,http://twitter.com/search?q=Strike,Strike,146164.0,Peru
HICIERON EL,http://twitter.com/search?q=%22HICIERON+EL%22,%22HICIERON+EL%22,55352.0,Peru
Papo,http://twitter.com/search?q=Papo,Papo,51950.0,Peru
Wolf,http://twitter.com/search?q=Wolf,Wolf,81039.0,Peru
yoongis first love,http://twitter.com/search?q=%22yoongis+first+love%22,%22yoongis+first+love%22,12341.0,Peru
3J BEST SUB-UNIT,http://twitter.com/search?q=%223J+BEST+SUB-UNIT%22,%223J+BEST+SUB-UNIT%22,131168.0,Peru
Baekhyun,http://twitter.com/search?q=Baekhyun,Baekhyun,118300.0,Peru
junkyu birth,http://twitter.com/search?q=%22junkyu+birth%22,%22junkyu+birth%22,72678.0,Peru
Corea,http://twitter.com/search?q=Corea,Corea,68083.0,Peru
Nano,http://twitter.com/search?q=Nano,Nano,43645.0,Peru
THUNDEROUS SO SSIX,http://twitter.com/search?q=%22THUNDEROUS+SO+SSIX%22,%22THUNDEROUS+SO+SSIX%22,103609.0,Peru
TWICE LIVE ON GMA7,http://twitter.com/search?q=%22TWICE+LIVE+ON+GMA7%22,%22TWICE+LIVE+ON+GMA7%22,55353.0,Peru
hoseok,http://twitter.com/search?q=hoseok,hoseok,265829.0,Peru
Recife,http://twitter.com/search?q=Recife,Recife,13280.0,Peru
Calvin Klein,http://twitter.com/search?q=%22Calvin+Klein%22,%22Calvin+Klein%22,312950.0,Peru
hyuna,http://twitter.com/search?q=hyuna,hyuna,45426.0,Peru
La Victoria,http://twitter.com/search?q=%22La+Victoria%22,%22La+Victoria%22,28365.0,Peru
5sos,http://twitter.com/search?q=5sos,5sos,35818.0,Peru
