name,url,query,tweet_volume,country
#HospitalPlaylistS2Ep11,http://twitter.com/search?q=%23HospitalPlaylistS2Ep11,%23HospitalPlaylistS2Ep11,71640.0,Philippines
#TodayIsLalisaDay,http://twitter.com/search?q=%23TodayIsLalisaDay,%23TodayIsLalisaDay,450531.0,Philippines
Baekhyun,http://twitter.com/search?q=Baekhyun,Baekhyun,118363.0,Philippines
#NCTzenSelcaDay,http://twitter.com/search?q=%23NCTzenSelcaDay,%23NCTzenSelcaDay,552381.0,Philippines
#ShopeePHxTWICE,http://twitter.com/search?q=%23ShopeePHxTWICE,%23ShopeePHxTWICE,179063.0,Philippines
jaehyun,http://twitter.com/search?q=jaehyun,jaehyun,304863.0,Philippines
Iksong,http://twitter.com/search?q=Iksong,Iksong,22262.0,Philippines
TWICE LIVE ON GMA7,http://twitter.com/search?q=%22TWICE+LIVE+ON+GMA7%22,%22TWICE+LIVE+ON+GMA7%22,55346.0,Philippines
Give Me Love,http://twitter.com/search?q=%22Give+Me+Love%22,%22Give+Me+Love%22,15971.0,Philippines
MY LOVE,http://twitter.com/search?q=%22MY+LOVE%22,%22MY+LOVE%22,530184.0,Philippines
I MISS YOU,http://twitter.com/search?q=%22I+MISS+YOU%22,%22I+MISS+YOU%22,115679.0,Philippines
Season 3,http://twitter.com/search?q=%22Season+3%22,%22Season+3%22,42063.0,Philippines
ayato,http://twitter.com/search?q=ayato,ayato,14354.0,Philippines
Ikjun,http://twitter.com/search?q=Ikjun,Ikjun,13481.0,Philippines
yuta,http://twitter.com/search?q=yuta,yuta,116839.0,Philippines
D-Day,http://twitter.com/search?q=D-Day,D-Day,193001.0,Philippines
What is Love,http://twitter.com/search?q=%22What+is+Love%22,%22What+is+Love%22,77587.0,Philippines
Amber,http://twitter.com/search?q=Amber,Amber,27381.0,Philippines
nayeon,http://twitter.com/search?q=nayeon,nayeon,51085.0,Philippines
Dahyun,http://twitter.com/search?q=Dahyun,Dahyun,49749.0,Philippines
#BINIKapitLangTheRelease,http://twitter.com/search?q=%23BINIKapitLangTheRelease,%23BINIKapitLangTheRelease,31714.0,Philippines
#TWICEonShopee99,http://twitter.com/search?q=%23TWICEonShopee99,%23TWICEonShopee99,148666.0,Philippines
#NCT127_Lemonade,http://twitter.com/search?q=%23NCT127_Lemonade,%23NCT127_Lemonade,194364.0,Philippines
#CrazyInLove_TRACKLIST,http://twitter.com/search?q=%23CrazyInLove_TRACKLIST,%23CrazyInLove_TRACKLIST,35305.0,Philippines
#3YearsWith100DMP,http://twitter.com/search?q=%233YearsWith100DMP,%233YearsWith100DMP,35845.0,Philippines
#NCTDREAM,http://twitter.com/search?q=%23NCTDREAM,%23NCTDREAM,147858.0,Philippines
#몬스타엑스,http://twitter.com/search?q=%23%EB%AA%AC%EC%8A%A4%ED%83%80%EC%97%91%EC%8A%A4,%23%EB%AA%AC%EC%8A%A4%ED%83%80%EC%97%91%EC%8A%A4,98209.0,Philippines
#Reflection5thAnniversary,http://twitter.com/search?q=%23Reflection5thAnniversary,%23Reflection5thAnniversary,54464.0,Philippines
#ENGENESelcaDay,http://twitter.com/search?q=%23ENGENESelcaDay,%23ENGENESelcaDay,70182.0,Philippines
#JAEMIN,http://twitter.com/search?q=%23JAEMIN,%23JAEMIN,83556.0,Philippines
#ENSD,http://twitter.com/search?q=%23ENSD,%23ENSD,57691.0,Philippines
#MARK,http://twitter.com/search?q=%23MARK,%23MARK,106869.0,Philippines
#TheMatrixResurrections,http://twitter.com/search?q=%23TheMatrixResurrections,%23TheMatrixResurrections,41255.0,Philippines
#MONSTA_X,http://twitter.com/search?q=%23MONSTA_X,%23MONSTA_X,68675.0,Philippines
