name,url,query,tweet_volume,country
Matrix,http://twitter.com/search?q=Matrix,Matrix,273206.0,Portugal
#PlayStationShowcase,http://twitter.com/search?q=%23PlayStationShowcase,%23PlayStationShowcase,22520.0,Portugal
Kylie,http://twitter.com/search?q=Kylie,Kylie,78296.0,Portugal
Diniz,http://twitter.com/search?q=Diniz,Diniz,19632.0,Portugal
hyuna,http://twitter.com/search?q=hyuna,hyuna,45453.0,Portugal
Djokovic,http://twitter.com/search?q=Djokovic,Djokovic,29195.0,Portugal
Zé Trovão,http://twitter.com/search?q=%22Z%C3%A9+Trov%C3%A3o%22,%22Z%C3%A9+Trov%C3%A3o%22,114164.0,Portugal
Barroso,http://twitter.com/search?q=Barroso,Barroso,55953.0,Portugal
John Wick,http://twitter.com/search?q=%22John+Wick%22,%22John+Wick%22,33861.0,Portugal
Cidadão,http://twitter.com/search?q=Cidad%C3%A3o,Cidad%C3%A3o,21239.0,Portugal
VMAs,http://twitter.com/search?q=VMAs,VMAs,149872.0,Portugal
Jennifer Lawrence,http://twitter.com/search?q=%22Jennifer+Lawrence%22,%22Jennifer+Lawrence%22,30148.0,Portugal
Calvin Klein,http://twitter.com/search?q=%22Calvin+Klein%22,%22Calvin+Klein%22,313003.0,Portugal
BTOB,http://twitter.com/search?q=BTOB,BTOB,180008.0,Portugal
Stormi,http://twitter.com/search?q=Stormi,Stormi,12594.0,Portugal
God of War,http://twitter.com/search?q=%22God+of+War%22,%22God+of+War%22,11884.0,Portugal
Juiz,http://twitter.com/search?q=Juiz,Juiz,20804.0,Portugal
Keanu Reeves,http://twitter.com/search?q=%22Keanu+Reeves%22,%22Keanu+Reeves%22,32146.0,Portugal
