name,url,query,tweet_volume,country
Ravens,http://twitter.com/search?q=Ravens,Ravens,27556.0,Puerto Rico
#PlayStationShowcase,http://twitter.com/search?q=%23PlayStationShowcase,%23PlayStationShowcase,22520.0,Puerto Rico
Cowboys,http://twitter.com/search?q=Cowboys,Cowboys,47144.0,Puerto Rico
Matrix,http://twitter.com/search?q=Matrix,Matrix,273206.0,Puerto Rico
Bucs,http://twitter.com/search?q=Bucs,Bucs,27023.0,Puerto Rico
Normani,http://twitter.com/search?q=Normani,Normani,31364.0,Puerto Rico
Packers,http://twitter.com/search?q=Packers,Packers,18263.0,Puerto Rico
Lamar,http://twitter.com/search?q=Lamar,Lamar,25760.0,Puerto Rico
Morpheus,http://twitter.com/search?q=Morpheus,Morpheus,15137.0,Puerto Rico
#NFLKickoff,http://twitter.com/search?q=%23NFLKickoff,%23NFLKickoff,10116.0,Puerto Rico
Justice Department,http://twitter.com/search?q=%22Justice+Department%22,%22Justice+Department%22,33081.0,Puerto Rico
Bills,http://twitter.com/search?q=Bills,Bills,70994.0,Puerto Rico
Chiefs,http://twitter.com/search?q=Chiefs,Chiefs,21013.0,Puerto Rico
Liz Cheney,http://twitter.com/search?q=%22Liz+Cheney%22,%22Liz+Cheney%22,17675.0,Puerto Rico
Katie Porter,http://twitter.com/search?q=%22Katie+Porter%22,%22Katie+Porter%22,24456.0,Puerto Rico
Buccaneers,http://twitter.com/search?q=Buccaneers,Buccaneers,37292.0,Puerto Rico
Rand Paul,http://twitter.com/search?q=%22Rand+Paul%22,%22Rand+Paul%22,23895.0,Puerto Rico
Browns,http://twitter.com/search?q=Browns,Browns,26323.0,Puerto Rico
Howard Stern,http://twitter.com/search?q=%22Howard+Stern%22,%22Howard+Stern%22,29817.0,Puerto Rico
New World Order,http://twitter.com/search?q=%22New+World+Order%22,%22New+World+Order%22,77208.0,Puerto Rico
VMAs,http://twitter.com/search?q=VMAs,VMAs,149872.0,Puerto Rico
Hunter Biden,http://twitter.com/search?q=%22Hunter+Biden%22,%22Hunter+Biden%22,34002.0,Puerto Rico
Brady,http://twitter.com/search?q=Brady,Brady,37144.0,Puerto Rico
Dreamcast,http://twitter.com/search?q=Dreamcast,Dreamcast,10545.0,Puerto Rico
Rampart,http://twitter.com/search?q=Rampart,Rampart,13953.0,Puerto Rico
