name,url,query,tweet_volume,country
#محمد_ابن_الذيب,http://twitter.com/search?q=%23%D9%85%D8%AD%D9%85%D8%AF_%D8%A7%D8%A8%D9%86_%D8%A7%D9%84%D8%B0%D9%8A%D8%A8,%23%D9%85%D8%AD%D9%85%D8%AF_%D8%A7%D8%A8%D9%86_%D8%A7%D9%84%D8%B0%D9%8A%D8%A8,11073.0,Qatar
Egypt,http://twitter.com/search?q=Egypt,Egypt,22917.0,Qatar
Alex,http://twitter.com/search?q=Alex,Alex,207524.0,Qatar
Kabul,http://twitter.com/search?q=Kabul,Kabul,160156.0,Qatar
hobi,http://twitter.com/search?q=hobi,hobi,247766.0,Qatar
FIFA,http://twitter.com/search?q=FIFA,FIFA,58436.0,Qatar
China,http://twitter.com/search?q=China,China,284550.0,Qatar
England,http://twitter.com/search?q=England,England,117884.0,Qatar
Iran,http://twitter.com/search?q=Iran,Iran,63550.0,Qatar
امين اللهم,http://twitter.com/search?q=%22%D8%A7%D9%85%D9%8A%D9%86+%D8%A7%D9%84%D9%84%D9%87%D9%85%22,%22%D8%A7%D9%85%D9%8A%D9%86+%D8%A7%D9%84%D9%84%D9%87%D9%85%22,59614.0,Qatar
Liverpool,http://twitter.com/search?q=Liverpool,Liverpool,35978.0,Qatar
Russia,http://twitter.com/search?q=Russia,Russia,76453.0,Qatar
May Allah,http://twitter.com/search?q=%22May+Allah%22,%22May+Allah%22,19083.0,Qatar
Middle East,http://twitter.com/search?q=%22Middle+East%22,%22Middle+East%22,19005.0,Qatar
Nigeria,http://twitter.com/search?q=Nigeria,Nigeria,82793.0,Qatar
Ruto,http://twitter.com/search?q=Ruto,Ruto,21998.0,Qatar
Trump,http://twitter.com/search?q=Trump,Trump,608046.0,Qatar
السيسي,http://twitter.com/search?q=%D8%A7%D9%84%D8%B3%D9%8A%D8%B3%D9%8A,%D8%A7%D9%84%D8%B3%D9%8A%D8%B3%D9%8A,18205.0,Qatar
ايران,http://twitter.com/search?q=%D8%A7%D9%8A%D8%B1%D8%A7%D9%86,%D8%A7%D9%8A%D8%B1%D8%A7%D9%86,80803.0,Qatar
World Cup,http://twitter.com/search?q=%22World+Cup%22,%22World+Cup%22,104563.0,Qatar
Jesus,http://twitter.com/search?q=Jesus,Jesus,216225.0,Qatar
عمان,http://twitter.com/search?q=%D8%B9%D9%85%D8%A7%D9%86,%D8%B9%D9%85%D8%A7%D9%86,44873.0,Qatar
الامارات,http://twitter.com/search?q=%D8%A7%D9%84%D8%A7%D9%85%D8%A7%D8%B1%D8%A7%D8%AA,%D8%A7%D9%84%D8%A7%D9%85%D8%A7%D8%B1%D8%A7%D8%AA,95962.0,Qatar
Israel,http://twitter.com/search?q=Israel,Israel,101929.0,Qatar
