name,url,query,tweet_volume,country
#Sep9Coup,http://twitter.com/search?q=%23Sep9Coup,%23Sep9Coup,312357.0,Singapore
#DefensiveWarForDemocracy,http://twitter.com/search?q=%23DefensiveWarForDemocracy,%23DefensiveWarForDemocracy,248225.0,Singapore
#HospitalPlaylistS2Ep11,http://twitter.com/search?q=%23HospitalPlaylistS2Ep11,%23HospitalPlaylistS2Ep11,71640.0,Singapore
#Thunderous6thWin,http://twitter.com/search?q=%23Thunderous6thWin,%23Thunderous6thWin,221706.0,Singapore
BTOB,http://twitter.com/search?q=BTOB,BTOB,180008.0,Singapore
#3JIsBack,http://twitter.com/search?q=%233JIsBack,%233JIsBack,330809.0,Singapore
jaehyun,http://twitter.com/search?q=jaehyun,jaehyun,304863.0,Singapore
John Wick,http://twitter.com/search?q=%22John+Wick%22,%22John+Wick%22,33846.0,Singapore
mcountdown,http://twitter.com/search?q=mcountdown,mcountdown,168909.0,Singapore
Jessi,http://twitter.com/search?q=Jessi,Jessi,28901.0,Singapore
LeeHi,http://twitter.com/search?q=LeeHi,LeeHi,34885.0,Singapore
Mnet,http://twitter.com/search?q=Mnet,Mnet,144795.0,Singapore
seungcheol,http://twitter.com/search?q=seungcheol,seungcheol,17121.0,Singapore
Kihyun,http://twitter.com/search?q=Kihyun,Kihyun,24023.0,Singapore
hobi,http://twitter.com/search?q=hobi,hobi,247692.0,Singapore
hyuna,http://twitter.com/search?q=hyuna,hyuna,45436.0,Singapore
haechan,http://twitter.com/search?q=haechan,haechan,175433.0,Singapore
tzuyu,http://twitter.com/search?q=tzuyu,tzuyu,36662.0,Singapore
Blue's Clues,http://twitter.com/search?q=%22Blue%27s+Clues%22,%22Blue%27s+Clues%22,76737.0,Singapore
minho,http://twitter.com/search?q=minho,minho,30719.0,Singapore
jongin,http://twitter.com/search?q=jongin,jongin,38677.0,Singapore
binnie,http://twitter.com/search?q=binnie,binnie,10961.0,Singapore
D-Day,http://twitter.com/search?q=D-Day,D-Day,193001.0,Singapore
Simon,http://twitter.com/search?q=Simon,Simon,53557.0,Singapore
El Salvador,http://twitter.com/search?q=%22El+Salvador%22,%22El+Salvador%22,64224.0,Singapore
Jooheon,http://twitter.com/search?q=Jooheon,Jooheon,10210.0,Singapore
The Wanted,http://twitter.com/search?q=%22The+Wanted%22,%22The+Wanted%22,179956.0,Singapore
Kara,http://twitter.com/search?q=Kara,Kara,36121.0,Singapore
FIFA,http://twitter.com/search?q=FIFA,FIFA,58391.0,Singapore
Kylie,http://twitter.com/search?q=Kylie,Kylie,78238.0,Singapore
Matic,http://twitter.com/search?q=Matic,Matic,76451.0,Singapore
Australians,http://twitter.com/search?q=Australians,Australians,16568.0,Singapore
Scott,http://twitter.com/search?q=Scott,Scott,84968.0,Singapore
South Korea,http://twitter.com/search?q=%22South+Korea%22,%22South+Korea%22,74123.0,Singapore
winwin,http://twitter.com/search?q=winwin,winwin,44773.0,Singapore
jennie,http://twitter.com/search?q=jennie,jennie,604299.0,Singapore
Baekhyun,http://twitter.com/search?q=Baekhyun,Baekhyun,118363.0,Singapore
Seoul,http://twitter.com/search?q=Seoul,Seoul,277976.0,Singapore
Young K,http://twitter.com/search?q=%22Young+K%22,%22Young+K%22,53556.0,Singapore
Loki,http://twitter.com/search?q=Loki,Loki,27711.0,Singapore
