name,url,query,tweet_volume,country
Carl,http://twitter.com/search?q=Carl,Carl,38068.0,South Africa
Angela,http://twitter.com/search?q=Angela,Angela,32576.0,South Africa
Tyson,http://twitter.com/search?q=Tyson,Tyson,13617.0,South Africa
Natalie,http://twitter.com/search?q=Natalie,Natalie,34254.0,South Africa
Chuck,http://twitter.com/search?q=Chuck,Chuck,18411.0,South Africa
Charlie,http://twitter.com/search?q=Charlie,Charlie,52746.0,South Africa
John Wick,http://twitter.com/search?q=%22John+Wick%22,%22John+Wick%22,33861.0,South Africa
Matrix,http://twitter.com/search?q=Matrix,Matrix,273206.0,South Africa
Eddie,http://twitter.com/search?q=Eddie,Eddie,27278.0,South Africa
Jack,http://twitter.com/search?q=Jack,Jack,140860.0,South Africa
Calvin,http://twitter.com/search?q=Calvin,Calvin,325041.0,South Africa
