name,url,query,tweet_volume,country
Iván,http://twitter.com/search?q=Iv%C3%A1n,Iv%C3%A1n,43377.0,Spain
#MarlaskaDimision,http://twitter.com/search?q=%23MarlaskaDimision,%23MarlaskaDimision,32503.0,Spain
#FMSInternacional,http://twitter.com/search?q=%23FMSInternacional,%23FMSInternacional,18174.0,Spain
Matrix,http://twitter.com/search?q=Matrix,Matrix,272976.0,Spain
Papo,http://twitter.com/search?q=Papo,Papo,52110.0,Spain
Skill,http://twitter.com/search?q=Skill,Skill,46697.0,Spain
Wolf,http://twitter.com/search?q=Wolf,Wolf,81098.0,Spain
MODE,http://twitter.com/search?q=MODE,MODE,136684.0,Spain
Sony,http://twitter.com/search?q=Sony,Sony,51169.0,Spain
Mínima,http://twitter.com/search?q=M%C3%ADnima,M%C3%ADnima,32399.0,Spain
God of War,http://twitter.com/search?q=%22God+of+War%22,%22God+of+War%22,11838.0,Spain
ayato,http://twitter.com/search?q=ayato,ayato,14354.0,Spain
John Wick,http://twitter.com/search?q=%22John+Wick%22,%22John+Wick%22,33846.0,Spain
Canadá,http://twitter.com/search?q=Canad%C3%A1,Canad%C3%A1,234502.0,Spain
Pereira,http://twitter.com/search?q=Pereira,Pereira,12757.0,Spain
Merkel,http://twitter.com/search?q=Merkel,Merkel,22123.0,Spain
Astérix,http://twitter.com/search?q=Ast%C3%A9rix,Ast%C3%A9rix,14140.0,Spain
Keanu,http://twitter.com/search?q=Keanu,Keanu,41930.0,Spain
New World,http://twitter.com/search?q=%22New+World%22,%22New+World%22,162009.0,Spain
Berserk,http://twitter.com/search?q=Berserk,Berserk,28636.0,Spain
Epic,http://twitter.com/search?q=Epic,Epic,83206.0,Spain
Trinity,http://twitter.com/search?q=Trinity,Trinity,30735.0,Spain
