name,url,query,tweet_volume,country
#NCTzenSelcaDay,http://twitter.com/search?q=%23NCTzenSelcaDay,%23NCTzenSelcaDay,552309.0,Thailand
#shopee99xbambam,http://twitter.com/search?q=%23shopee99xbambam,%23shopee99xbambam,283508.0,Thailand
#HospitalPlaylistS2Ep11,http://twitter.com/search?q=%23HospitalPlaylistS2Ep11,%23HospitalPlaylistS2Ep11,71640.0,Thailand
#TodayIsLalisaDay,http://twitter.com/search?q=%23TodayIsLalisaDay,%23TodayIsLalisaDay,450531.0,Thailand
#ธรรมนัส,http://twitter.com/search?q=%23%E0%B8%98%E0%B8%A3%E0%B8%A3%E0%B8%A1%E0%B8%99%E0%B8%B1%E0%B8%AA,%23%E0%B8%98%E0%B8%A3%E0%B8%A3%E0%B8%A1%E0%B8%99%E0%B8%B1%E0%B8%AA,172641.0,Thailand
shopee mss,http://twitter.com/search?q=%22shopee+mss%22,%22shopee+mss%22,316248.0,Thailand
Kevin,http://twitter.com/search?q=Kevin,Kevin,104868.0,Thailand
xiaojiu coming,http://twitter.com/search?q=%22xiaojiu+coming%22,%22xiaojiu+coming%22,21680.0,Thailand
D-Day,http://twitter.com/search?q=D-Day,D-Day,193001.0,Thailand
Monsta X,http://twitter.com/search?q=%22Monsta+X%22,%22Monsta+X%22,96505.0,Thailand
Chimmy,http://twitter.com/search?q=Chimmy,Chimmy,16887.0,Thailand
Sticker,http://twitter.com/search?q=Sticker,Sticker,406871.0,Thailand
Cruella,http://twitter.com/search?q=Cruella,Cruella,21166.0,Thailand
Next Level,http://twitter.com/search?q=%22Next+Level%22,%22Next+Level%22,85657.0,Thailand
Christmas,http://twitter.com/search?q=Christmas,Christmas,67451.0,Thailand
Official MV,http://twitter.com/search?q=%22Official+MV%22,%22Official+MV%22,41817.0,Thailand
#billkin_iไม่o,http://twitter.com/search?q=%23billkin_i%E0%B9%84%E0%B8%A1%E0%B9%88o,%23billkin_i%E0%B9%84%E0%B8%A1%E0%B9%88o,408542.0,Thailand
#ENGENESelcaDay,http://twitter.com/search?q=%23ENGENESelcaDay,%23ENGENESelcaDay,70182.0,Thailand
#laneigexyinwarxaraya,http://twitter.com/search?q=%23laneigexyinwarxaraya,%23laneigexyinwarxaraya,116403.0,Thailand
#finalodysseyconcert,http://twitter.com/search?q=%23finalodysseyconcert,%23finalodysseyconcert,23850.0,Thailand
#ม็อบ9กันยา,http://twitter.com/search?q=%23%E0%B8%A1%E0%B9%87%E0%B8%AD%E0%B8%9A9%E0%B8%81%E0%B8%B1%E0%B8%99%E0%B8%A2%E0%B8%B2,%23%E0%B8%A1%E0%B9%87%E0%B8%AD%E0%B8%9A9%E0%B8%81%E0%B8%B1%E0%B8%99%E0%B8%A2%E0%B8%B2,282180.0,Thailand
#มิวเปิดคาเฟ่ช้อปปี้,http://twitter.com/search?q=%23%E0%B8%A1%E0%B8%B4%E0%B8%A7%E0%B9%80%E0%B8%9B%E0%B8%B4%E0%B8%94%E0%B8%84%E0%B8%B2%E0%B9%80%E0%B8%9F%E0%B9%88%E0%B8%8A%E0%B9%89%E0%B8%AD%E0%B8%9B%E0%B8%9B%E0%B8%B5%E0%B9%89,%23%E0%B8%A1%E0%B8%B4%E0%B8%A7%E0%B9%80%E0%B8%9B%E0%B8%B4%E0%B8%94%E0%B8%84%E0%B8%B2%E0%B9%80%E0%B8%9F%E0%B9%88%E0%B8%8A%E0%B9%89%E0%B8%AD%E0%B8%9B%E0%B8%9B%E0%B8%B5%E0%B9%89,332239.0,Thailand
#astarvocalistjunkyuday,http://twitter.com/search?q=%23astarvocalistjunkyuday,%23astarvocalistjunkyuday,152508.0,Thailand
#NCT127_Lemonade,http://twitter.com/search?q=%23NCT127_Lemonade,%23NCT127_Lemonade,194358.0,Thailand
#sulwhasoolivexgulf,http://twitter.com/search?q=%23sulwhasoolivexgulf,%23sulwhasoolivexgulf,264495.0,Thailand
#준규선생님_생일축하한다요_메롱,http://twitter.com/search?q=%23%EC%A4%80%EA%B7%9C%EC%84%A0%EC%83%9D%EB%8B%98_%EC%83%9D%EC%9D%BC%EC%B6%95%ED%95%98%ED%95%9C%EB%8B%A4%EC%9A%94_%EB%A9%94%EB%A1%B1,%23%EC%A4%80%EA%B7%9C%EC%84%A0%EC%83%9D%EB%8B%98_%EC%83%9D%EC%9D%BC%EC%B6%95%ED%95%98%ED%95%9C%EB%8B%A4%EC%9A%94_%EB%A9%94%EB%A1%B1,153468.0,Thailand
#ShopeexTWICE,http://twitter.com/search?q=%23ShopeexTWICE,%23ShopeexTWICE,40270.0,Thailand
#StarHunterSurpriseDay,http://twitter.com/search?q=%23StarHunterSurpriseDay,%23StarHunterSurpriseDay,71127.0,Thailand
#velato,http://twitter.com/search?q=%23velato,%23velato,123034.0,Thailand
#JENNIE,http://twitter.com/search?q=%23JENNIE,%23JENNIE,163498.0,Thailand
#Thunderous6thWin,http://twitter.com/search?q=%23Thunderous6thWin,%23Thunderous6thWin,221706.0,Thailand
#thanksprojectmg,http://twitter.com/search?q=%23thanksprojectmg,%23thanksprojectmg,74076.0,Thailand
