name,url,query,tweet_volume,country
#fahrettinkocaistifa,http://twitter.com/search?q=%23fahrettinkocaistifa,%23fahrettinkocaistifa,13169.0,Turkey
Marcao,http://twitter.com/search?q=Marcao,Marcao,16036.0,Turkey
BaşBelası DijitalDevam,http://twitter.com/search?q=%22Ba%C5%9FBelas%C4%B1+DijitalDevam%22,%22Ba%C5%9FBelas%C4%B1+DijitalDevam%22,60287.0,Turkey
Turkovac,http://twitter.com/search?q=Turkovac,Turkovac,13932.0,Turkey
Sedat,http://twitter.com/search?q=Sedat,Sedat,10119.0,Turkey
BenAKpartiliyim,http://twitter.com/search?q=BenAKpartiliyim,BenAKpartiliyim,14279.0,Turkey
Baekhyun,http://twitter.com/search?q=Baekhyun,Baekhyun,118426.0,Turkey
Yeniden DorukAtakul,http://twitter.com/search?q=%22Yeniden+DorukAtakul%22,%22Yeniden+DorukAtakul%22,20253.0,Turkey
2021 KPSS,http://twitter.com/search?q=%222021+KPSS%22,%222021+KPSS%22,13579.0,Turkey
MüjdeBeklyr,http://twitter.com/search?q=M%C3%BCjdeBeklyr,M%C3%BCjdeBeklyr,20185.0,Turkey
John Wick,http://twitter.com/search?q=%22John+Wick%22,%22John+Wick%22,33861.0,Turkey
