name,url,query,tweet_volume,country
#محمد_ابن_الذيب,http://twitter.com/search?q=%23%D9%85%D8%AD%D9%85%D8%AF_%D8%A7%D8%A8%D9%86_%D8%A7%D9%84%D8%B0%D9%8A%D8%A8,%23%D9%85%D8%AD%D9%85%D8%AF_%D8%A7%D8%A8%D9%86_%D8%A7%D9%84%D8%B0%D9%8A%D8%A8,11073.0,United Arab Emirates
#PlayStationShowcase,http://twitter.com/search?q=%23PlayStationShowcase,%23PlayStationShowcase,21396.0,United Arab Emirates
#انقذوا_دانه_المساعيد,http://twitter.com/search?q=%23%D8%A7%D9%86%D9%82%D8%B0%D9%88%D8%A7_%D8%AF%D8%A7%D9%86%D9%87_%D8%A7%D9%84%D9%85%D8%B3%D8%A7%D8%B9%D9%8A%D8%AF,%23%D8%A7%D9%86%D9%82%D8%B0%D9%88%D8%A7_%D8%AF%D8%A7%D9%86%D9%87_%D8%A7%D9%84%D9%85%D8%B3%D8%A7%D8%B9%D9%8A%D8%AF,36090.0,United Arab Emirates
#T20WorldCup,http://twitter.com/search?q=%23T20WorldCup,%23T20WorldCup,75296.0,United Arab Emirates
BTOB,http://twitter.com/search?q=BTOB,BTOB,180008.0,United Arab Emirates
BCCI,http://twitter.com/search?q=BCCI,BCCI,105370.0,United Arab Emirates
اليوم الخميس,http://twitter.com/search?q=%22%D8%A7%D9%84%D9%8A%D9%88%D9%85+%D8%A7%D9%84%D8%AE%D9%85%D9%8A%D8%B3%22,%22%D8%A7%D9%84%D9%8A%D9%88%D9%85+%D8%A7%D9%84%D8%AE%D9%85%D9%8A%D8%B3%22,18168.0,United Arab Emirates
Baekhyun,http://twitter.com/search?q=Baekhyun,Baekhyun,118363.0,United Arab Emirates
الخميس الونيس,http://twitter.com/search?q=%22%D8%A7%D9%84%D8%AE%D9%85%D9%8A%D8%B3+%D8%A7%D9%84%D9%88%D9%86%D9%8A%D8%B3%22,%22%D8%A7%D9%84%D8%AE%D9%85%D9%8A%D8%B3+%D8%A7%D9%84%D9%88%D9%86%D9%8A%D8%B3%22,90258.0,United Arab Emirates
Iranian,http://twitter.com/search?q=Iranian,Iranian,13177.0,United Arab Emirates
jaehyun,http://twitter.com/search?q=jaehyun,jaehyun,304863.0,United Arab Emirates
Seoul,http://twitter.com/search?q=Seoul,Seoul,278014.0,United Arab Emirates
Jeon Jungkook,http://twitter.com/search?q=%22Jeon+Jungkook%22,%22Jeon+Jungkook%22,121332.0,United Arab Emirates
11 سبتمبر,http://twitter.com/search?q=%2211+%D8%B3%D8%A8%D8%AA%D9%85%D8%A8%D8%B1%22,%2211+%D8%B3%D8%A8%D8%AA%D9%85%D8%A8%D8%B1%22,12750.0,United Arab Emirates
Biafra,http://twitter.com/search?q=Biafra,Biafra,26872.0,United Arab Emirates
Lagos,http://twitter.com/search?q=Lagos,Lagos,52006.0,United Arab Emirates
Ronaldo,http://twitter.com/search?q=Ronaldo,Ronaldo,159394.0,United Arab Emirates
THANK U,http://twitter.com/search?q=%22THANK+U%22,%22THANK+U%22,134965.0,United Arab Emirates
الهلال,http://twitter.com/search?q=%D8%A7%D9%84%D9%87%D9%84%D8%A7%D9%84,%D8%A7%D9%84%D9%87%D9%84%D8%A7%D9%84,64725.0,United Arab Emirates
Zimbabwe,http://twitter.com/search?q=Zimbabwe,Zimbabwe,10185.0,United Arab Emirates
Megan,http://twitter.com/search?q=Megan,Megan,522285.0,United Arab Emirates
Chahal,http://twitter.com/search?q=Chahal,Chahal,14541.0,United Arab Emirates
Sabrina,http://twitter.com/search?q=Sabrina,Sabrina,69673.0,United Arab Emirates
Kylie,http://twitter.com/search?q=Kylie,Kylie,78296.0,United Arab Emirates
Rose,http://twitter.com/search?q=Rose,Rose,233324.0,United Arab Emirates
Arya,http://twitter.com/search?q=Arya,Arya,12477.0,United Arab Emirates
Zoom,http://twitter.com/search?q=Zoom,Zoom,112089.0,United Arab Emirates
IPOB,http://twitter.com/search?q=IPOB,IPOB,30242.0,United Arab Emirates
hoshi,http://twitter.com/search?q=hoshi,hoshi,44240.0,United Arab Emirates
jennie,http://twitter.com/search?q=jennie,jennie,604426.0,United Arab Emirates
Russian,http://twitter.com/search?q=Russian,Russian,52120.0,United Arab Emirates
أحمد,http://twitter.com/search?q=%D8%A3%D8%AD%D9%85%D8%AF,%D8%A3%D8%AD%D9%85%D8%AF,83815.0,United Arab Emirates
Egypt,http://twitter.com/search?q=Egypt,Egypt,22898.0,United Arab Emirates
Tamil,http://twitter.com/search?q=Tamil,Tamil,41198.0,United Arab Emirates
