name,url,query,tweet_volume,country
Ravens,http://twitter.com/search?q=Ravens,Ravens,27556.0,United States
#PlayStationShowcase,http://twitter.com/search?q=%23PlayStationShowcase,%23PlayStationShowcase,21396.0,United States
Cowboys,http://twitter.com/search?q=Cowboys,Cowboys,47144.0,United States
Matrix,http://twitter.com/search?q=Matrix,Matrix,272976.0,United States
Bucs,http://twitter.com/search?q=Bucs,Bucs,27004.0,United States
Normani,http://twitter.com/search?q=Normani,Normani,31298.0,United States
Packers,http://twitter.com/search?q=Packers,Packers,18241.0,United States
Lamar,http://twitter.com/search?q=Lamar,Lamar,25760.0,United States
Morpheus,http://twitter.com/search?q=Morpheus,Morpheus,15137.0,United States
#NFLKickoff,http://twitter.com/search?q=%23NFLKickoff,%23NFLKickoff,10108.0,United States
Justice Department,http://twitter.com/search?q=%22Justice+Department%22,%22Justice+Department%22,32899.0,United States
Bills,http://twitter.com/search?q=Bills,Bills,70921.0,United States
Chiefs,http://twitter.com/search?q=Chiefs,Chiefs,20991.0,United States
Liz Cheney,http://twitter.com/search?q=%22Liz+Cheney%22,%22Liz+Cheney%22,17634.0,United States
Katie Porter,http://twitter.com/search?q=%22Katie+Porter%22,%22Katie+Porter%22,24416.0,United States
Buccaneers,http://twitter.com/search?q=Buccaneers,Buccaneers,37262.0,United States
Rand Paul,http://twitter.com/search?q=%22Rand+Paul%22,%22Rand+Paul%22,23895.0,United States
Browns,http://twitter.com/search?q=Browns,Browns,26278.0,United States
Howard Stern,http://twitter.com/search?q=%22Howard+Stern%22,%22Howard+Stern%22,29798.0,United States
New World Order,http://twitter.com/search?q=%22New+World+Order%22,%22New+World+Order%22,77158.0,United States
VMAs,http://twitter.com/search?q=VMAs,VMAs,149872.0,United States
Hunter Biden,http://twitter.com/search?q=%22Hunter+Biden%22,%22Hunter+Biden%22,33969.0,United States
Brady,http://twitter.com/search?q=Brady,Brady,37125.0,United States
Dreamcast,http://twitter.com/search?q=Dreamcast,Dreamcast,10545.0,United States
Rampart,http://twitter.com/search?q=Rampart,Rampart,13942.0,United States
