name,url,query,tweet_volume,country
#9Sep,http://twitter.com/search?q=%239Sep,%239Sep,71919.0,Venezuela
#CaminosDeVictorias,http://twitter.com/search?q=%23CaminosDeVictorias,%23CaminosDeVictorias,122860.0,Venezuela
#VacúnateYa,http://twitter.com/search?q=%23Vac%C3%BAnateYa,%23Vac%C3%BAnateYa,99271.0,Venezuela
#btsdivine,http://twitter.com/search?q=%23btsdivine,%23btsdivine,32938.0,Venezuela
#btsdiamond,http://twitter.com/search?q=%23btsdiamond,%23btsdiamond,34673.0,Venezuela
virgen del valle,http://twitter.com/search?q=%22virgen+del+valle%22,%22virgen+del+valle%22,14593.0,Venezuela
La Tortuga,http://twitter.com/search?q=%22La+Tortuga%22,%22La+Tortuga%22,21005.0,Venezuela
Alex Saab,http://twitter.com/search?q=%22Alex+Saab%22,%22Alex+Saab%22,40800.0,Venezuela
Matrix,http://twitter.com/search?q=Matrix,Matrix,272744.0,Venezuela
Colombia,http://twitter.com/search?q=Colombia,Colombia,141936.0,Venezuela
Paraguay,http://twitter.com/search?q=Paraguay,Paraguay,18382.0,Venezuela
Sergio Ramírez,http://twitter.com/search?q=%22Sergio+Ram%C3%ADrez%22,%22Sergio+Ram%C3%ADrez%22,12310.0,Venezuela
Thor,http://twitter.com/search?q=Thor,Thor,23752.0,Venezuela
Venezuela,http://twitter.com/search?q=Venezuela,Venezuela,189520.0,Venezuela
Jeter,http://twitter.com/search?q=Jeter,Jeter,44289.0,Venezuela
Morón,http://twitter.com/search?q=Mor%C3%B3n,Mor%C3%B3n,41847.0,Venezuela
Jennifer Lawrence,http://twitter.com/search?q=%22Jennifer+Lawrence%22,%22Jennifer+Lawrence%22,30132.0,Venezuela
La Reina,http://twitter.com/search?q=%22La+Reina%22,%22La+Reina%22,23988.0,Venezuela
Cabo Verde,http://twitter.com/search?q=%22Cabo+Verde%22,%22Cabo+Verde%22,22209.0,Venezuela
