name,url,query,tweet_volume,country
#TodayIsLalisaDay,http://twitter.com/search?q=%23TodayIsLalisaDay,%23TodayIsLalisaDay,450625.0,Vietnam
#3JIsBack,http://twitter.com/search?q=%233JIsBack,%233JIsBack,330823.0,Vietnam
#3JISCOMING,http://twitter.com/search?q=%233JISCOMING,%233JISCOMING,92630.0,Vietnam
#sulwhasoolivexgulf,http://twitter.com/search?q=%23sulwhasoolivexgulf,%23sulwhasoolivexgulf,264495.0,Vietnam
#3JComesToDominateWithHisDance,http://twitter.com/search?q=%233JComesToDominateWithHisDance,%233JComesToDominateWithHisDance,197873.0,Vietnam
shopee mss,http://twitter.com/search?q=%22shopee+mss%22,%22shopee+mss%22,316248.0,Vietnam
DEAREST MAKNAE CHANWOO,http://twitter.com/search?q=%22DEAREST+MAKNAE+CHANWOO%22,%22DEAREST+MAKNAE+CHANWOO%22,57588.0,Vietnam
Blockchain,http://twitter.com/search?q=Blockchain,Blockchain,142356.0,Vietnam
jungkook,http://twitter.com/search?q=jungkook,jungkook,883926.0,Vietnam
Indonesia,http://twitter.com/search?q=Indonesia,Indonesia,115836.0,Vietnam
Fake Love,http://twitter.com/search?q=%22Fake+Love%22,%22Fake+Love%22,27938.0,Vietnam
Total Reward,http://twitter.com/search?q=%22Total+Reward%22,%22Total+Reward%22,21289.0,Vietnam
hobi,http://twitter.com/search?q=hobi,hobi,247766.0,Vietnam
Discord,http://twitter.com/search?q=Discord,Discord,393385.0,Vietnam
Top 10,http://twitter.com/search?q=%22Top+10%22,%22Top+10%22,137554.0,Vietnam
Pfizer,http://twitter.com/search?q=Pfizer,Pfizer,179556.0,Vietnam
jaehyun,http://twitter.com/search?q=jaehyun,jaehyun,304911.0,Vietnam
World's First,http://twitter.com/search?q=%22World%27s+First%22,%22World%27s+First%22,23791.0,Vietnam
Coinbase,http://twitter.com/search?q=Coinbase,Coinbase,51545.0,Vietnam
Token,http://twitter.com/search?q=Token,Token,353429.0,Vietnam
Smart,http://twitter.com/search?q=Smart,Smart,206558.0,Vietnam
Lazada,http://twitter.com/search?q=Lazada,Lazada,126345.0,Vietnam
Handsome,http://twitter.com/search?q=Handsome,Handsome,110574.0,Vietnam
hóng,http://twitter.com/search?q=h%C3%B3ng,h%C3%B3ng,52300.0,Vietnam
Project,http://twitter.com/search?q=Project,Project,714233.0,Vietnam
DeFi,http://twitter.com/search?q=DeFi,DeFi,168437.0,Vietnam
Mnet,http://twitter.com/search?q=Mnet,Mnet,144795.0,Vietnam
Thailand,http://twitter.com/search?q=Thailand,Thailand,81911.0,Vietnam
Halloween,http://twitter.com/search?q=Halloween,Halloween,83913.0,Vietnam
Minh,http://twitter.com/search?q=Minh,Minh,24536.0,Vietnam
Ngon,http://twitter.com/search?q=Ngon,Ngon,12110.0,Vietnam
Trump,http://twitter.com/search?q=Trump,Trump,607065.0,Vietnam
muốn,http://twitter.com/search?q=mu%E1%BB%91n,mu%E1%BB%91n,13300.0,Vietnam
