name,url,query,tweet_volume,country
Ravens,http://twitter.com/search?q=Ravens,Ravens,27556.0,Worldwide
#PlayStationShowcase,http://twitter.com/search?q=%23PlayStationShowcase,%23PlayStationShowcase,22520.0,Worldwide
Temer,http://twitter.com/search?q=Temer,Temer,27373.0,Worldwide
#btsdiscography,http://twitter.com/search?q=%23btsdiscography,%23btsdiscography,33254.0,Worldwide
#btsdiamond,http://twitter.com/search?q=%23btsdiamond,%23btsdiamond,35409.0,Worldwide
#btsdivine,http://twitter.com/search?q=%23btsdivine,%23btsdivine,33617.0,Worldwide
Matrix,http://twitter.com/search?q=Matrix,Matrix,273206.0,Worldwide
Diniz,http://twitter.com/search?q=Diniz,Diniz,19632.0,Worldwide
Cowboys,http://twitter.com/search?q=Cowboys,Cowboys,47144.0,Worldwide
Bucs,http://twitter.com/search?q=Bucs,Bucs,27023.0,Worldwide
Normani,http://twitter.com/search?q=Normani,Normani,31364.0,Worldwide
Cristina,http://twitter.com/search?q=Cristina,Cristina,57178.0,Worldwide
Zé Trovão,http://twitter.com/search?q=%22Z%C3%A9+Trov%C3%A3o%22,%22Z%C3%A9+Trov%C3%A3o%22,114164.0,Worldwide
Baekhyun,http://twitter.com/search?q=Baekhyun,Baekhyun,118426.0,Worldwide
Packers,http://twitter.com/search?q=Packers,Packers,18263.0,Worldwide
LISA SOLO DEBUT,http://twitter.com/search?q=%22LISA+SOLO+DEBUT%22,%22LISA+SOLO+DEBUT%22,520589.0,Worldwide
Papo,http://twitter.com/search?q=Papo,Papo,52656.0,Worldwide
Morpheus,http://twitter.com/search?q=Morpheus,Morpheus,15137.0,Worldwide
John Wick,http://twitter.com/search?q=%22John+Wick%22,%22John+Wick%22,33861.0,Worldwide
Lamar,http://twitter.com/search?q=Lamar,Lamar,25760.0,Worldwide
God of War,http://twitter.com/search?q=%22God+of+War%22,%22God+of+War%22,11884.0,Worldwide
Buccaneers,http://twitter.com/search?q=Buccaneers,Buccaneers,37292.0,Worldwide
Barroso,http://twitter.com/search?q=Barroso,Barroso,56019.0,Worldwide
Bills,http://twitter.com/search?q=Bills,Bills,70994.0,Worldwide
Ganesh Chaturthi,http://twitter.com/search?q=%22Ganesh+Chaturthi%22,%22Ganesh+Chaturthi%22,20877.0,Worldwide
Chiefs,http://twitter.com/search?q=Chiefs,Chiefs,20991.0,Worldwide
#klartext,http://twitter.com/search?q=%23klartext,%23klartext,10746.0,Worldwide
#FMSInternacional,http://twitter.com/search?q=%23FMSInternacional,%23FMSInternacional,18562.0,Worldwide
